Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R601AK2,R601AK3,R601AK4,R601AK5,R601AK6,R601AK7,R601AK8,R601BK7,R601BK8,R601BK2,R601BK3,R601BK4,R601BK5,R601BK6,R601CK2,R601CK3,R601CK4,R601CK5,R601CK6,R601CK7,R601CK8,R601DK2,R601DK3,R601DK4,R601DK5,R601DK6,R601DK7,R601DK8,R601EK2,R601EK3,R601EK4,R601EK5,R601EK6,R601EK7,R601EK8,R601FK2,R601FK3,R601FK4,R601FK5,R601FK6,R601FK7,R601FK8,R601GK2,R601GK3,R601GK4,R601GK5,R601GK6,R601GK7,R601GK8,R601HK2,R601HK3,R601HK4,R601HK5,R601HK6,R601HK7,R601HK8,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,R601JK2,R601JK3,R601JK4,R601JK5,R601JK6,R601JK7,R601JK8,R602A,R602B,R602C,R602D,R602E,R701AK2,R701AK3,R701AK4,R701AK5,R701BK2,R701BK3,R701BK4,R701BK5,R701CK2,R701CK3,R701CK4,R701CK5,R701DK2,R701DK3,R701DK4,R701DK5,R701EK2,R701EK3,R701EK4,R701EK5,R701FK2,R701FK3,R701FK4,R701FK5,R701GK2,R701GK3,R701GK4,R701GK5,R701HK2,R701HK3,R701IK2,R701IK3,R701JK2,R701JK3,R701KK3,R701LK3,R701MK3,R702A,R702B,R702C,R702D,R702E,R702F,R703AK2,R703AK3,R703BK2,R703BK3,R703CK2,R703CK3,R703DK2,R703DK3,R703EK2,R703EK3,R703FK2,R703FK3,R703GK2,R703GK3,R704AK2,R704AK3,R704AK4,R704BK2,R704BK3,R704BK4,R704CK2,R704CK3,R704CK4,R704DK2,R704DK3,R704DK4,R704EK2,R704EK3,R704EK4,R704FK2,R704FK3,R704FK4,R704GK2,R704GK3,R704GK4,R704HK2,R704HK3,R704HK4,R704IK2,R704IK3,R704IK4,R704JK2,R704JK3,R704JK4,R704KK2,R704KK3,R704KK4,R704LK2,R704LK3,R704LK4,R704MK2,R704MK3,R704MK4,R705A,R705B,R705C,R706A1,R706A2,R706B,R706C,R706D,R707,R708,R709AK2,R709AK3,R709AK4,R709BK2,R709BK3,R709BK4,R709CK2,R709CK3,R709CK4,R709DK2,R709DK3,R709DK4,R709EK2,R709EK3,R709EK4,R709FK2,R709FK3,R709FK4,R709GK2,R709GK3,R709GK4,R709HK2,R709HK3,R709HK4,R710,R711A,R711B
62130,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,001,SEI MERDEKA,2,,,,,,,1,0,1,1,0,1,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,1,1,0,0,0,0,0,2,,,,,,,2,0,6,8,1,0,0,7.00,1,0,4,,,2,1,,,1,1,,,1,0,,,0,1,,,0,0,25.0000,1,0,0,0,0,0,0,0,0,0,2,4,6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,1,0,10.00,1,0,10.00,1,1,,,0,7.00,1,0,10.00,1,1,,,0,30.00,1,2,,,0,10.00,1,0,10.00,1,1,,,1,,,6,0,0,0,1,0,5,3,2,5,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,450,30
62131,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,002,SALOK API DARAT,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,0,15.00,2,0,1,,,2,0,,,0,0,5.00,1,0,0,10.00,1,1,0,,,0,0,35.0000,2,0,0,0,0,0,0,0,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,2,0,15.00,2,0,15.00,2,0,15.00,2,1,,,0,15.00,2,0,15.00,2,0,15.00,2,1,,,0,30.00,2,0,30.00,2,0,5.00,2,0,3.00,2,4,0,1,0,0,0,1,0,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,574,11
62132,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,003,TANI BAKTI,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,0,5.00,2,0,1,,,1,0,,,0,1,,,0,0,14.00,2,0,0,10.00,2,0,0,15.0000,2,0,0,0,0,0,0,0,0,0,2,4,6,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00,2,0,20.00,2,0,20.00,2,0,10.00,2,1,,,0,8.00,1,0,10.00,2,0,20.00,2,0,10.00,2,0,30.00,2,1,,,0,10.00,2,0,28.00,2,3,0,1,0,0,0,1,0,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,1233,37
62133,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,004,SALOK API LAUT,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,2,0,0,3.00,1,0,1,,,1,0,,,0,0,3.00,1,0,0,15.00,2,0,0,4.00,1,0,0,60.0000,2,0,0,0,0,0,0,0,0,0,1,3,6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.00,2,0,60.00,3,0,7.00,2,0,7.00,2,1,,,0,7.00,2,0,5.00,2,0,7.00,2,0,7.00,1,0,20.00,2,0,20.00,2,0,8.00,2,0,8.00,2,4,0,1,0,0,0,0,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,967,10
62134,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,005,AMBARAWANG DARAT,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,1,,,0,1,,,1,2,,,1,1,,,0,0,10.00,1,0,0,8.00,1,0,0,25.0000,1,0,0,0,0,0,0,1,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,1,0,17.00,1,0,14.00,1,0,10.00,1,1,,,0,25.00,1,0,14.00,1,0,25.00,1,1,,,0,25.00,1,1,,,0,18.00,1,0,18.00,1,3,0,1,0,0,0,1,1,1,3,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,415,18
62135,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,006,ARGOSARI,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,1,,,0,1,,,1,0,,,0,0,3.00,1,0,0,25.00,1,0,0,6.00,1,0,0,60.0000,1,0,0,0,0,0,0,0,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,1,0,15.00,1,0,13.00,1,0,13.00,1,1,,,1,,,0,13.00,1,0,15.00,1,0,17.00,1,0,17.00,1,0,20.00,1,0,17.00,1,0,17.00,1,2,0,0,0,0,0,1,1,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,122,51
62136,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,007,AMBARAWANG LAUT,2,,,,,,,9,0,1,9,0,9,0,1,1,0,1,0,1,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,2,0,2,,,0,1,,,1,0,,,1,0,,,0,0,10.00,1,0,0,7.00,1,0,0,60.0000,2,0,0,0,0,0,0,0,0,0,1,3,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.00,2,0,60.00,3,0,7.00,2,0,7.00,2,1,,,0,7.00,2,0,6.00,2,0,7.00,2,1,,,0,21.00,2,0,21.00,2,0,8.00,2,0,8.00,2,3,0,1,0,0,0,1,1,1,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,833,8
62137,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,008,MARGOMULYO,2,,,,,,,2,0,1,2,0,2,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,1,0,1,,,0,1,,,1,0,,,0,0,5.00,1,0,0,5.00,1,0,0,5.00,1,0,0,50.0000,1,0,0,0,0,0,0,0,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,1,0,50.00,1,0,5.00,1,0,5.00,1,1,,,1,,,0,7.00,1,0,7.00,1,1,,,1,,,1,,,0,7.00,1,0,8.00,1,3,0,0,0,0,0,1,0,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,137,30
62138,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,009,KARYA JAYA,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,1,,,0,1,,,1,0,,,0,0,6.00,2,0,0,7.00,2,0,0,15.00,2,0,0,60.0000,2,0,0,0,0,0,0,0,0,0,2,4,5,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,2,0,40.00,2,0,20.00,2,0,7.00,2,1,,,0,10.00,2,0,10.00,2,0,99.00,3,0,7.00,2,1,,,0,20.00,2,0,5.00,2,0,6.00,2,3,0,0,0,0,0,1,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,125,35
62139,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,010,TANJUNG HARAPAN,2,,,,,,,1,0,1,0,0,1,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,2,0,0,10.00,2,0,1,,,1,1,,,0,1,,,0,0,10.00,2,0,1,,,0,0,99.0000,3,0,0,0,0,0,0,0,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00,2,0,98.00,3,0,30.00,2,0,15.00,2,1,,,0,35.00,2,0,12.00,2,0,98.00,3,0,10.00,2,0,98.00,3,0,10.00,2,0,7.00,2,0,7.00,2,3,0,1,0,0,0,1,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,114,48
62140,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,011,WONOTIRTO,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,1,0,1,,,1,1,,,1,1,,,0,0,4.00,2,0,1,,,0,0,5.00,2,0,0,80.0000,2,0,0,0,0,0,0,0,0,0,2,4,5,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,2,0,70.00,3,0,3.00,2,0,15.00,2,1,,,0,15.00,2,0,8.00,2,0,70.00,3,2,,,0,98.00,3,1,,,0,2.00,2,1,,,3,0,1,0,1,0,4,6,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,96,73
62141,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,012,SUNGAI SELUANG,1,0,0,0,0,1,0,1,0,1,1,0,1,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,1,0,0,0,0,1,0,2,,,,,,,2,0,6,8,1,0,3,,,0,3,,,4,1,,,2,0,,,0,1,,,0,1,,,0,0,3.0000,1,0,0,0,0,0,0,0,0,0,2,4,5,7,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,0,98.00,3,0,50.00,2,1,,,1,,,0,40.00,2,1,,,0,98.00,3,2,,,0,98.00,3,1,,,3,,,1,,,8,0,2,0,1,1,2,19,2,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,54,60
62142,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,013,BUKIT RAYA,2,,,,,,,2,0,1,0,0,0,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,1,0,2,,,0,1,,,1,0,,,0,0,3.00,2,0,0,15.00,2,0,0,40.00,2,0,0,98.0000,2,0,0,0,0,0,0,0,0,0,2,4,5,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,2,0,98.00,3,0,6.00,2,0,20.00,2,1,,,0,30.00,2,0,6.00,2,0,98.00,3,0,7.00,2,0,98.00,3,1,,,0,5.00,2,0,5.00,2,3,0,1,0,0,0,1,1,1,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,0,134,48
62143,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,014,BERINGIN AGUNG,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,1,,,0,2,,,2,0,,,1,0,,,0,0,12.00,2,0,0,20.00,2,0,0,98.0000,3,0,0,0,0,0,0,0,0,0,2,4,5,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,2,0,98.00,3,0,10.00,2,0,15.00,2,1,,,0,40.00,2,0,5.00,2,0,98.00,3,0,5.00,2,0,98.00,3,0,98.00,3,0,5.00,2,0,3.00,2,1,0,1,0,0,0,1,0,1,0,2,,,1,10,0,2,,,2,,,2,,,2,,,2,,,2,,,0,92,29
62144,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,015,SAMBOJA KUALA,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,1,0,0,0,0,1,0,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,2,0,1,,,1,3,,,3,1,,,0,2,,,0,0,2.00,2,0,0,20.00,2,0,0,98.0000,2,0,0,0,0,0,0,0,0,0,2,4,6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00,2,0,98.00,3,0,7.00,2,0,10.00,2,1,,,0,15.00,2,0,10.00,2,0,98.00,3,2,,,0,98.00,3,0,98.00,3,1,,,1,,,3,0,1,1,0,0,4,0,1,2,1,3,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,254,155
62145,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,016,SANIPAH,2,,,,,,,1,0,1,1,0,1,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,1,0,0,0,0,1,0,2,,,,,,,1,3,5,8,1,0,1,,,0,3,,,2,1,,,1,1,,,0,1,,,0,1,,,0,0,80.0000,2,0,0,0,0,0,0,0,0,0,1,4,5,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,2,0,60.00,2,0,5.00,2,0,25.00,2,1,,,0,25.00,2,1,,,0,25.00,2,1,,,0,98.00,2,1,,,0,4.00,2,1,,,5,0,1,0,0,0,1,7,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,891,92
62146,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,017,HANDIL BARU,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,1,0,0,0,0,1,0,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,1,0,1,,,0,3,,,3,0,,,0,1,,,0,1,,,0,0,10.00,2,0,1,,,0,0,0,0,0,0,0,0,0,2,4,5,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.00,2,0,30.00,2,0,20.00,2,1,,,0,5.00,2,0,10.00,2,0,10.00,2,0,30.00,2,3,,,0,99.90,3,0,6.00,2,0,10.00,2,1,,,5,0,1,0,0,1,3,4,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,341,50
62147,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,018,MUARA SEMBILANG,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,1,0,3,,,0,2,,,2,0,,,1,1,,,0,0,3.00,1,0,0,9.00,1,0,0,80.0000,3,0,0,0,0,0,0,0,0,0,2,4,5,8,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.00,2,0,40.00,2,0,5.00,2,0,23.00,2,1,,,0,15.00,2,0,15.00,2,0,60.00,3,0,1.00,2,0,60.00,3,1,,,0,5.00,2,0,4.00,2,3,0,1,0,0,0,7,4,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,40,98
62148,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,019,BUKIT MERDEKA,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,5,7,1,0,1,,,0,1,,,3,0,,,0,1,,,0,0,3.00,1,0,0,6.00,1,0,0,50.0000,2,0,0,0,0,0,0,0,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,1,0,17.00,1,0,13.00,1,0,7.00,1,1,,,0,9.00,1,0,5.00,1,0,9.00,1,1,,,0,99.90,3,1,,,0,7.00,1,0,10.00,1,4,0,1,0,0,0,5,2,2,3,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,579,55
62149,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,020,KARYA MERDEKA,2,,,,,,,9,0,1,9,0,9,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,1,,,0,3,,,3,0,,,0,1,,,0,0,12.00,2,0,0,8.00,2,0,0,16.0000,2,0,0,0,0,0,0,0,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,2,0,18.00,2,0,30.00,2,0,30.00,2,1,,,1,,,0,10.00,2,0,30.00,2,1,,,0,30.00,2,0,30.00,2,0,8.00,2,0,10.00,2,6,0,0,0,0,0,4,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,3072,23
62150,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,021,TELUK PEMEDAS,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,1,0,1,,,0,2,,,2,0,,,0,0,5.00,2,0,0,7.00,2,0,0,10.00,2,0,0,98.0000,2,0,0,0,0,0,0,0,0,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,2,0,17.00,2,0,15.00,2,0,10.00,2,1,,,0,30.00,2,0,4.00,2,0,98.00,2,0,5.00,2,0,98.00,2,0,8.00,2,1,,,0,8.00,2,3,0,1,1,0,0,3,10,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,105,69
62151,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,022,KAMPUNG LAMA,2,,,,,,,1,0,1,0,0,0,0,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,1,0,0,5.00,2,1,0,,,1,0,,,1,0,,,1,0,,,0,0,20.00,2,0,0,60.0000,2,0,0,0,0,0,0,0,0,0,2,3,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00,2,0,25.00,2,0,12.00,2,0,12.00,2,1,,,0,15.00,2,0,15.00,2,0,98.00,3,0,5.00,2,1,,,0,98.00,3,0,7.00,2,0,4.00,2,2,0,0,0,0,0,0,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1080,63
62152,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,023,HANDIL BARU DARAT,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,1,,,0,2,,,1,1,,,0,0,7.00,2,0,0,5.00,1,0,0,15.00,2,0,0,98.0000,3,0,0,0,0,0,0,0,0,0,1,4,5,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,2,0,80.00,3,0,20.00,2,0,5.00,2,1,,,0,15.00,2,0,20.00,2,0,20.00,2,2,,,0,30.00,2,0,30.00,2,0,15.00,2,0,3.00,2,3,0,2,1,0,0,2,1,1,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,170,58
62153,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,001,TELUK DALAM,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,1,0,0,7.00,3,1,0,,,1,0,,,1,0,,,0,0,7.00,3,0,0,11.00,3,0,0,73.0000,3,0,0,0,0,0,0,0,0,0,2,4,6,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,50.00,3,0,50.00,3,0,13.00,3,0,13.00,3,0,13.00,3,0,13.00,3,0,13.00,3,0,8.00,3,0,8.00,3,0,50.00,3,1,,,0,13.00,3,0,13.00,3,3,0,0,0,0,0,1,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,49,3
62154,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,002,MUARA JAWA ILIR,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,2,,,0,3,,,3,0,,,0,1,,,0,0,1.00,2,0,0,6.00,2,0,0,70.0000,2,0,0,0,0,0,0,0,3,0,1,3,5,8,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,40.00,2,0,40.00,2,0,6.00,2,0,6.00,2,1,,,0,6.00,2,0,7.00,2,0,40.00,2,1,,,0,40.00,2,1,,,0,6.00,2,0,6.00,2,4,0,2,0,0,0,4,1,1,4,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,196,112
62155,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,003,MUARA JAWA TENGAH,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,2,,,0,3,,,2,3,,,1,0,,,1,0,,,0,0,4.00,2,0,0,65.0000,3,0,0,0,0,0,0,0,5,0,2,3,5,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,2,0,65.00,3,0,5.00,2,0,65.00,3,1,,,0,65.00,3,1,,,0,40.00,2,1,,,0,40.00,2,0,22.00,2,1,,,1,,,4,0,1,0,1,0,5,3,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,634,86
62156,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,004,MUARA JAWA ULU,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,1,0,5,,,2,3,,,4,2,,,0,1,,,1,0,,,0,1,,,0,0,65.0000,2,0,0,0,0,0,0,0,8,0,2,4,5,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,2,0,40.00,2,1,,,0,40.00,2,1,,,1,,,3,,,0,40.00,2,2,,,0,40.00,2,0,7.00,2,1,,,1,,,12,0,2,2,1,2,2,2,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,1290,121
62157,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,005,DONDANG,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,1,0,3,,,0,3,,,1,1,,,1,0,,,0,1,,,1,0,,,0,0,65.0000,3,0,0,0,0,0,0,0,2,0,1,4,5,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,3,0,65.00,3,0,7.00,2,0,7.00,2,1,,,0,7.00,2,0,8.00,2,0,8.00,2,1,,,0,30.00,3,1,,,0,8.00,2,0,8.00,2,2,0,1,0,0,0,3,3,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,305,42
62158,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,006,TAMAPOLE,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,0,6,8,2,0,1,,,0,1,,,1,0,,,0,0,4.00,2,0,0,14.00,2,0,0,9.00,2,0,0,25.0000,2,0,0,0,0,0,0,0,1,0,1,3,6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,2,0,65.00,3,0,7.00,2,0,4.00,2,1,,,0,65.00,3,0,7.00,2,0,8.00,2,0,8.00,2,0,40.00,2,1,,,0,8.00,2,0,8.00,2,1,0,1,0,0,0,1,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,0,49,12
62159,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,007,MUARA KEMBANG,2,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,4,6,8,2,0,2,,,0,3,,,2,2,,,1,0,,,0,0,17.00,3,0,0,17.00,3,0,0,65.0000,3,0,0,0,0,0,0,0,3,0,2,4,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.00,3,0,65.00,3,0,17.00,3,0,65.00,3,1,,,0,65.00,3,0,17.00,3,0,17.00,3,0,17.00,3,0,98.00,3,2,,,0,17.00,3,0,17.00,3,5,0,1,0,0,0,1,0,2,3,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,150,50
