Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R80101,R80102,R80103,R80104,R80105,R80106,R80107,R802,R803A,R803B,R803C,R803D,R803E,R803F,R803G,R803H,R803I,R804A1,R804A2A,R804A2B,R804A2C,R804B1,R804B2,R805A,R805B,R805C,R805D,R805E,R805F,R805G,R805H,R805I,R806,R807,R808,R809A,R809B,R8101K2,R8102K2,R8103K2,R8104K2,R8105K2,R8106K2,R8107K2,R811A,R811B,R811C,R811D,R811E,R811F,R901AK2,R901AK3,R901BK2,R901BK3,R901CK2,R901CK3,R901DK2,R901DK3,R901EK2,R901EK3,R901FK2,R901FK3,R901GK2,R901GK3,R901HK2,R901HK3,R901IK2,R901IK3,R901JK2,R901JK3,R901KK2,R901KK3,R901LK2,R901LK3,R902A,R902B,R1001A,R1001B1,R1001B2,R1001C1,R1001C2,R1001C3,R1002AK2,R1002AK3,R1002AK4,R1002AK5,R1002AJM,R1002AME,R1002AK7,R1002BK2,R1002BK3,R1002BK4,R1002BK5,R1002BJM,R1002BME,R1002BK7,R1002CK2,R1002CK3,R1002CK4,R1002CK5,R1002CJM,R1002CME,R1002CK7,R1002DK2,R1002DK3,R1002DK4,R1002DK5,R1002DJM,R1002DME,R1002DK7,R1003A,R1003B,R1004,R1005A,R1005B,R1005C,R1005D,R1006A,R1006B,R1007A,R1007B,R1007C,R1008AK2,R1008AK3,R1008BK2,R1008BK3,R1008CK2,R1008CK3,R1008DK2,R1008DK3,R1008EK2,R1008FK2,R1008GK2,R1201A,R1201B,R1201C,R1201D,R1201E,R1201F,R1201G,R1201H,R1202A,R1202B,R1202C,R1203A,R1203B,R1204A,R1204B,R1204C,R1204D,R1205A1,R1205A2,R1205A3,R1205B1,R1205B2,R1205B3,R1206AK2,R1206AK3,R1206AK4,R1206BK2,R1206BK3,R1206BK4,R1206CK2,R1206CK3,R1206CK4,R1206DK2,R1206DK3,R1206DK4,R1206EK2,R1206EK3,R1206EK4,R1206F1K2,R1206F1K3,R1206F1K4,R1206F2K2,R1206F2K3,R1206F2K4,R1206GK2,R1206GK3,R1206GK4,R1206HK2,R1206HK3,R1206HK4,R1206IK2,R1206IK3,R1206IK4,R1206JK2,R1206JK3,R1206JK4,R1207A,R1207B,R1207C,R1207D,R1208AK2,R1208AK3,R1208AK4,R1208BK2,R1208BK3,R1208BK4,R1208CK2,R1208CK3,R1208CK4,R1209AK2,R1209AK3,R1209AK4,R1209BK2,R1209BK3,R1209BK4,R1209CK2,R1209CK3,R1209CK4,R1209DK2,R1209DK3,R1209DK4,R1209EK2,R1209EK3,R1209EK4,R1209FK2,R1209FK3,R1209FK4,R1209GK2,R1209GK3,R1209GK4
62130,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,001,SEI MERDEKA,1,3,5,8,2,4,6,1,4,6,3,1,0,0,0,0,0,1,30012,60001,70025,1,1167,0,4,3,2,2,2,0,0,0,0,1,3,1,1,MANDI 7 BULANAN,AQIKAHAN,,,,,MABADONG,1,1,1,10,1,0,1,1,1,1,1,1,4,2,4,2,1,1,4,2,4,2,1,1,4,2,1,1,4,2,2,20.00,1,1,1,1,1,2,2,,,15,0,30,20,2,,,70,2,0,140,2,,,30,1,0,50,2,,,35,1,0,60,0,1,1,2,3,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1,2,2,2,0,1,0,6,0,0,3,5,0,0,0,2,3,0,,,,0,0,0,2,4,5,0,10.00,1,0,10.00,1,1,,,0,12.00,1,1,,,27,,,5,,,0,50.00,1,100,,,0,30.00,2,1,,,1,4,6,8,1,,,0,15.00,1,0,15.00,1,2,25.00,1,1,,,1,,,1,,,1,,,1,,,1,,
62131,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,002,SALOK API DARAT,1,3,6,8,1,4,6,1,2,4,0,0,0,0,0,0,0,1,70025,30012,60001,1,1167,0,0,0,0,1,0,0,0,0,0,4,3,1,1,,,,,,,,1,1,1,1,0,0,1,1,2,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,15.00,1,1,1,1,1,1,2,,,30,0,30,30,2,,,140,3,0,500,2,,,15,1,30,100,2,,,62,1,0,100,0,1,2,1,2,2,2,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,,0,1,0,2,4,5,0,5.00,1,0,3.00,1,0,3.00,1,0,5.00,1,0,5.00,1,15,,,2,,,0,10.00,2,4,,,0,20.00,2,0,12.00,2,2,4,6,8,0,5.00,1,0,40.00,2,0,40.00,2,2,40.00,2,2,10.00,2,2,2.00,1,1,,,2,5.00,2,2,2.00,1,1,,
62132,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,003,TANI BAKTI,1,3,6,8,2,4,6,1,2,4,0,0,0,0,0,0,0,1,70025,60001,30012,1,1167,0,0,0,2,0,2,5,0,5,0,4,3,1,1,MANDI-MANDI 7 BULANAN,,SYUKURAN,,,,,1,1,1,1,0,0,3,2,2,1,1,1,4,2,4,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,2,28.00,1,1,1,3,,,2,,,27,1,0,30,2,,,92,2,0,300,2,,,30,1,0,30,2,,,40,1,30,150,0,1,2,0,3,3,2,1,4,4,2,4,1,2,1,2,1,2,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,2,3,0,,,,0,0,0,2,4,6,0,8.00,2,0,8.00,2,1,,,0,3.00,1,0,3.00,1,32,,,0,3.00,1,0,3.00,2,5,,,0,30.00,2,0,30.00,2,2,4,6,8,0,5.00,1,0,15.00,2,0,15.00,2,2,30.00,2,2,10.00,2,2,10.00,2,2,10.00,2,2,30.00,2,2,10.00,2,2,2.00,1
62133,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,004,SALOK API LAUT,1,4,6,8,2,4,6,1,1,3,0,0,0,0,0,0,0,1,60001,30012,70025,1,1167,2,0,0,2,6,10,0,0,1,0,4,3,2,1,MANDI 7 BULANAN,,,,KEMBANG MAYANG,,,1,1,1,1,0,0,1,1,1,1,4,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,60.00,1,1,1,3,,,2,,,30,1,0,50,2,,,135,3,0,500,2,,,25,0,30,50,2,,,60,1,30,500,0,1,1,0,2,3,2,1,4,4,2,4,1,2,2,,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,,0,3,0,2,4,5,0,7.00,2,0,2.00,2,0,2.00,2,0,7.00,2,0,3.00,2,41,,,2,,,0,8.00,2,3,,,0,30.00,2,0,13.00,2,2,4,6,8,0,8.00,2,0,60.00,3,0,60.00,3,2,30.00,3,2,15.00,2,2,3.00,1,1,,,2,4.00,1,2,4.00,1,2,2.00,1
62134,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,005,AMBARAWANG DARAT,1,3,5,8,2,4,6,1,4,8,1,1,0,0,0,0,0,1,30012,60357,70025,1,1167,0,0,0,0,0,1,0,0,0,0,4,3,1,1,,,,,,,,1,1,1,6,0,0,1,1,1,1,1,1,4,2,4,2,1,1,4,2,4,2,1,1,4,2,4,2,4,2,2,35.00,1,1,1,1,1,1,1,2,2,20,0,30,20,2,,,90,2,0,100,1,2,2,30,1,0,50,1,2,2,30,1,0,50,0,1,2,3,3,1,2,1,4,4,2,4,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,35,0,2,0,0,1,0,2,3,1,0,0,1,1,0,0,2,4,5,0,35.00,2,0,35.00,2,0,20.00,2,1,,,0,17.00,2,4,,,2,,,0,40.00,2,2,,,0,35.00,2,0,10.00,2,1,4,6,8,0,17.00,1,0,20.00,1,0,20.00,1,2,35.00,1,2,20.00,1,2,20.00,1,1,,,1,,,2,20.00,1,2,20.00,1
62135,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,006,ARGOSARI,1,3,5,8,2,4,6,1,1,2,1,1,0,0,0,0,0,1,30012,60357,70025,1,1167,0,1,2,1,1,0,0,0,0,0,4,3,1,1,MANDI 7 BULANAN,PASARAN,,,TEMU MANTEN,,,1,1,1,6,0,0,4,1,1,1,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,30.00,1,1,1,1,1,1,1,2,2,19,0,30,30,2,,,89,2,0,150,1,2,2,29,1,0,100,1,2,2,29,1,0,100,0,1,2,0,2,2,2,1,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,,,,0,0,1,2,4,6,0,36.00,1,0,36.00,1,0,21.00,1,1,,,0,17.00,1,5,,,1,,,0,40.00,1,1,,,0,35.00,1,0,10.00,1,2,4,5,8,0,10.00,1,0,20.00,1,0,20.00,1,2,35.00,1,2,20.00,1,2,20.00,1,2,20.00,1,2,30.00,1,2,20.00,1,2,20.00,1
62136,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,007,AMBARAWANG LAUT,1,4,6,8,2,4,6,1,3,3,0,0,0,0,0,0,0,1,60001,70025,30012,1,1167,0,0,0,0,0,1,0,0,0,0,4,1,1,1,MANDI 7 BULANAN,TASMIYAHAN,,,TARIAN RONGGENG,,,1,1,1,1,0,0,4,2,1,1,1,1,4,2,4,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,2,60.00,1,1,1,3,,,2,,,30,0,30,30,2,,,135,2,30,300,2,,,13,0,15,20,2,,,60,1,0,100,0,1,2,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,2,0,0,0,0,2,3,0,,,,0,0,0,2,4,5,0,7.00,2,1,,,1,,,0,7.00,2,0,3.00,2,17,,,3,,,0,10.00,2,10,,,0,30.00,2,0,13.00,2,1,4,6,8,0,7.00,2,0,60.00,3,0,60.00,3,2,15.00,2,2,7.00,2,1,,,1,,,2,7.00,2,1,,,1,,
62137,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,008,MARGOMULYO,1,3,6,8,2,4,6,1,2,3,0,0,0,0,0,0,0,1,30012,60001,70025,1,1167,0,2,2,2,1,3,0,0,0,0,1,3,1,1,TUJUH BULANAN,TASMIYAH / AQIKAH,,,TEMU MANTEN,,,1,1,1,4,0,0,1,1,1,1,4,2,4,2,4,2,3,1,4,2,4,2,4,2,4,2,1,1,4,2,2,50.00,1,1,1,1,1,1,2,,,10,0,15,8,2,,,100,3,0,1,2,,,50,1,0,20,2,,,100,3,0,100,0,1,2,3,1,1,2,1,1,4,2,4,1,1,1,1,1,1,1,1,2,2,2,0,0,0,1,0,0,2,0,0,0,0,2,3,0,,,,0,1,0,2,4,6,0,10.00,1,0,11.00,1,0,11.00,1,1,,,0,11.00,1,7,,,0,11.00,1,0,50.00,1,4,,,0,50.00,1,1,,,1,4,5,8,0,7.00,1,0,50.00,1,0,50.00,1,2,50.00,1,2,7.00,1,2,7.00,1,1,,,1,,,1,,,2,7.00,1
62138,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,009,KARYA JAYA,1,3,6,8,2,4,6,1,1,3,0,0,0,0,0,0,0,1,30012,60001,70025,1,0088,0,0,0,2,3,0,1,0,0,0,4,3,1,1,"KEBA, NGUPATI","JENENGI, TURUN TANAH",,,,,"NYAUT TANAH, BROKOHAN",1,1,1,13,1,1,1,1,4,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,30.00,1,1,1,3,,,2,,,7,0,15,15,2,,,99,3,0,200,2,,,40,1,0,50,2,,,70,1,0,150,0,1,2,0,3,3,2,1,1,4,2,4,1,1,1,1,1,1,2,,2,2,2,0,0,0,0,0,0,0,3,0,0,0,2,3,0,,,,0,0,0,2,4,5,0,8.00,2,0,10.00,2,0,10.00,2,0,2.00,1,0,8.00,2,23,,,0,8.00,2,0,20.00,2,2,,,0,20.00,2,0,8.00,2,2,4,6,8,0,10.00,2,0,10.00,2,0,12.00,2,1,,,2,99.00,3,2,10.00,2,2,2.00,1,2,8.00,2,1,,,2,99.00,3
62139,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,010,TANJUNG HARAPAN,1,4,6,8,2,4,6,1,1,5,0,0,0,0,0,0,0,1,30012,70025,60001,1,1167,0,0,0,0,0,0,0,0,0,0,4,3,1,1,,NAIK AYUN,,,,,,1,1,1,5,0,1,1,1,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,30.00,1,1,1,3,,,2,,,3,0,15,10,2,,,95,3,15,55,2,,,17,1,0,15,2,,,85,1,15,35,0,1,2,1,1,2,2,1,4,4,2,4,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,,,,0,0,0,2,4,6,0,6.00,2,0,30.00,2,0,6.00,2,1,,,0,6.00,2,25,,,5,,,0,98.00,3,0,3.00,2,0,12.00,2,0,10.00,2,1,4,6,8,0,5.00,2,0,5.00,2,0,5.00,2,2,98.00,3,2,10.00,2,2,5.00,1,1,,,2,20.00,2,2,7.00,2,2,10.00,2
62140,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,011,WONOTIRTO,1,3,6,8,2,4,6,1,2,6,1,0,0,0,0,0,0,1,60001,30012,70025,1,0385,1,0,2,0,2,0,1,0,0,0,4,3,1,1,,,,,,,,1,1,1,6,1,0,1,2,1,2,1,2,4,2,4,2,4,2,4,2,4,2,1,2,4,2,4,2,4,2,2,15.00,1,1,1,1,1,1,2,,,2,0,15,30,2,,,120,3,0,150,2,,,35,1,0,50,2,,,89,2,50,100,3,1,2,3,4,2,1,1,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,2,3,0,0,0,2,3,0,,,,0,1,0,2,4,6,0,20.00,2,1,,,1,,,1,,,0,2.00,2,36,,,3,,,0,50.00,2,4,,,0,30.00,2,0,1.00,1,2,4,6,8,0,1.50,2,0,50.00,2,0,50.00,2,2,8.00,2,2,8.00,2,2,8.00,2,1,,,2,15.00,2,2,10.00,2,2,20.00,2
62141,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,012,SUNGAI SELUANG,1,3,5,8,2,4,6,1,4,8,1,0,0,0,0,0,0,1,60001,30012,70025,1,1167,2,3,0,0,0,1,0,0,0,0,2,3,1,1,7 BULANAN,BEPALAS,,,,,,1,1,1,3,0,0,3,2,1,1,1,1,4,2,1,1,4,2,4,1,4,2,4,1,4,2,1,1,4,2,2,20.00,1,1,1,1,1,1,2,,,5,0,15,10,1,2,2,100,3,0,60,2,,,45,1,0,20,2,,,50,1,0,35,700,1,1,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,,1,1,1,0,0,0,1,1,0,0,2,0,0,0,2,3,0,,,,0,0,0,2,4,6,0,5.00,2,0,15.00,2,0,5.00,2,1,,,6,,,20,,,1,,,0,25.00,2,17,,,0,25.00,2,3,,,1,4,5,8,1,,,0,25.00,2,0,25.00,2,1,,,2,0.10,1,1,,,1,,,1,,,1,,,1,,
62142,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,013,BUKIT RAYA,1,3,5,8,1,4,6,1,3,2,1,0,0,0,0,0,0,1,30012,60001,70025,1,1167,1,5,3,1,2,1,1,0,0,0,4,1,1,1,MITONI,SEPASARAN,,,KEMBAR MAYANG,,UNGKUR-UNGKUR,1,1,1,5,1,2,1,1,1,1,1,1,4,2,4,2,4,2,4,2,4,2,1,1,4,2,4,2,4,2,2,32.50,1,1,1,3,,,2,,,10,0,30,20,2,,,99,3,0,200,2,,,25,1,0,80,2,,,75,1,30,150,0,1,2,1,3,3,2,1,1,4,2,4,1,1,1,1,1,1,1,1,2,2,2,0,4,0,0,0,0,1,2,0,0,0,2,3,1,0,0,1,1,0,0,2,4,6,0,10.00,2,0,17.00,2,1,,,0,12.00,2,0,10.00,2,66,,,6,,,0,35.00,2,12,,,0,40.00,2,0,8.00,2,2,4,6,7,0,8.00,2,0,15.00,2,0,25.00,2,2,10.00,2,2,15.00,2,2,10.00,2,1,,,2,15.00,2,1,,,1,,
62143,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,014,BERINGIN AGUNG,1,3,6,8,2,4,6,1,2,3,2,0,0,0,0,0,0,1,30012,30021,70025,1,1167,0,0,3,0,0,3,0,0,0,0,4,1,1,1,MITOM,,,,,,,1,1,1,6,1,0,1,1,1,1,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,30.00,1,1,1,3,,,2,,,15,0,40,30,2,,,99,3,0,250,2,,,30,1,0,50,2,,,80,1,30,150,0,1,2,1,1,2,2,1,1,4,2,4,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,1,0,2,5,0,0,0,2,3,0,,,,0,0,0,2,4,5,0,30.00,2,0,40.00,2,1,,,0,2.00,2,0,5.00,2,35,,,5,,,0,30.00,2,5,,,0,20.00,2,0,5.00,2,1,4,6,8,0,15.00,2,0,15.00,2,0,15.00,2,2,98.00,3,2,18.00,2,2,10.00,2,1,,,2,20.00,2,1,,,1,,
62144,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,015,SAMBOJA KUALA,1,4,6,8,2,4,6,1,2,5,0,0,0,0,0,0,0,1,70025,60001,30012,1,0554,2,0,1,0,3,4,0,0,0,0,4,3,1,1,,MAKALAWI,PESTA LAUT,,,,,1,1,1,8,0,1,1,1,2,1,2,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,20.00,1,1,1,1,1,1,2,,,5,0,15,5,2,,,90,3,0,55,2,,,15,1,0,15,2,,,80,1,0,35,0,1,2,1,1,2,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,3,0,0,7,3,0,0,0,2,3,0,,,,0,0,0,2,4,6,1,,,0,20.00,1,1,,,0,2.00,1,1,,,30,,,5,,,0,63.00,2,5,,,0,7.00,1,0,5.00,1,1,4,6,8,1,,,1,,,0,12.00,2,2,20.00,2,1,,,1,,,1,,,1,,,1,,,1,,
62145,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,016,SANIPAH,1,3,5,8,2,4,6,1,5,3,1,0,0,0,0,0,0,1,60001,70025,30012,1,0385,1,0,0,4,9,0,2,2,0,0,4,3,1,1,,,,,,,,1,1,1,5,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,2,1,1,4,2,1,1,4,2,1,,1,1,1,1,1,1,2,,,18,0,25,10,2,,,122,2,45,200,2,,,20,0,20,50,2,,,94,2,0,150,10,1,1,3,4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,2,3,0,0,0,2,3,0,,,,0,0,1,2,4,5,0,25.00,2,0,5.00,2,1,,,1,,,0,8.00,2,80,,,3,,,2,,,9,,,1,,,2,,,1,4,5,7,0,5.00,2,0,10.00,2,0,25.00,2,1,,,1,,,1,,,1,,,2,30.00,2,1,,,1,,
62146,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,017,HANDIL BARU,1,3,6,8,2,4,6,1,1,6,0,0,0,0,0,0,0,1,60001,70025,30012,1,0385,0,0,0,0,0,0,0,0,0,0,4,1,1,1,,,,,,,,1,1,1,19,0,1,4,1,1,1,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,30.00,1,1,1,1,1,1,2,,,25,0,30,50,2,,,120,3,0,280,2,,,10,0,15,20,2,,,70,2,0,200,0,1,2,1,4,2,1,1,1,4,2,4,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,1,30,1,0,0,0,2,3,0,,,,0,1,0,2,4,6,0,18.00,2,0,18.00,2,0,15.00,2,1,,,0,5.00,2,62,,,2,,,0,15.00,2,10,,,0,5.00,2,0,15.00,2,1,4,6,8,0,3.00,2,0,70.00,3,0,70.00,3,2,98.00,3,2,8.00,2,2,3.00,2,1,,,2,15.00,2,1,,,2,5.00,2
62147,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,018,MUARA SEMBILANG,1,3,6,8,2,4,6,1,2,3,0,0,0,0,0,0,0,1,60001,70025,30012,1,0385,1,0,0,1,0,0,0,0,2,0,4,3,1,1,,,,,,,,1,1,1,2,0,0,4,2,1,1,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,40.00,1,1,1,1,1,1,2,,,39,0,40,70,2,,,144,3,50,300,2,,,1,0,20,20,2,,,135,3,0,270,0,1,2,0,4,2,1,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,3,0,0,0,2,3,0,,,,0,0,0,2,4,6,0,15.00,2,0,15.00,2,0,10.00,2,1,,,0,1.00,2,22,,,3,,,0,50.00,3,0,2.00,1,0,8.00,2,0,15.00,2,1,4,6,8,0,1.00,2,0,99.90,3,0,99.90,3,2,98.00,3,2,20.00,2,2,1.00,2,1,,,2,25.00,2,2,99.90,3,2,98.00,3
62148,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,019,BUKIT MERDEKA,1,3,5,8,2,4,6,1,9,3,0,1,0,0,0,0,0,1,70025,30012,60001,1,1167,0,4,7,2,9,0,0,0,0,0,4,3,1,1,MANDI 7 BULANAN,AQIKAH,,,MABARASANJI,,,1,1,1,15,0,0,1,1,1,1,1,1,4,2,4,2,1,1,4,2,4,2,1,1,4,2,4,2,4,2,2,35.00,1,1,1,1,1,2,2,,,28,0,30,20,2,,,80,2,30,200,2,,,80,1,30,100,2,,,50,2,0,100,0,1,2,5,3,2,1,1,4,4,2,4,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,2,3,0,0,0,2,3,1,0,0,1,0,0,0,1,4,6,0,30.00,1,1,,,1,,,0,20.00,1,0,5.00,1,4,,,2,,,0,45.00,2,20,,,0,45.00,2,0,20.00,1,2,4,6,8,0,7.00,1,0,37.00,1,0,39.00,1,2,40.00,1,2,7.00,1,2,7.00,1,1,,,1,,,1,,,1,,
62149,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,020,KARYA MERDEKA,1,3,5,7,1,4,6,1,7,6,2,0,0,0,0,0,0,1,70025,30012,60001,1,1167,5,2,2,0,16,0,4,0,0,0,4,3,1,1,MANDI 7 BULANAN,,,,KEMBANG MAYAN,,,1,1,1,1,0,0,1,1,1,2,1,2,1,2,4,2,4,2,4,1,4,2,4,2,4,2,4,2,4,2,2,35.00,1,1,1,1,1,1,2,,,23,1,0,50,2,,,103,3,0,350,2,,,30,1,0,50,2,,,50,1,30,200,0,1,2,2,2,2,2,1,1,3,2,1,1,2,1,2,1,1,1,1,2,2,2,0,0,0,1,0,0,2,3,0,0,0,2,3,0,,,,0,0,0,2,4,6,0,30.00,2,0,11.00,2,1,,,0,6.00,2,1,,,130,,,5,,,0,30.00,2,19,,,0,35.00,2,0,20.00,2,1,4,6,8,0,8.00,2,0,32.00,3,0,35.00,3,2,32.00,3,2,8.00,2,2,8.00,2,1,,,1,,,2,8.00,2,1,,
62150,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,021,TELUK PEMEDAS,1,3,5,8,2,4,6,1,2,4,0,0,0,0,0,0,0,1,60001,70025,30012,2,0385,5,5,2,0,7,0,0,0,0,0,4,3,1,1,MANDI 7 BULANAN,NAIK AYUN,,,,,TAHLILAN,1,1,1,14,0,0,4,1,1,1,4,2,4,2,4,2,4,2,4,1,4,2,4,2,4,2,4,2,4,2,1,,1,1,1,1,1,1,2,,,10,0,20,10,2,,,80,3,0,280,2,,,30,0,50,30,2,,,65,2,30,100,0,2,2,3,4,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,,,,0,0,1,2,4,5,0,25.00,2,0,5.00,2,0,5.00,2,1,,,0,4.00,2,59,,,2,,,0,30.00,2,6,,,0,10.00,2,1,,,2,4,6,8,0,8.00,2,0,25.00,2,0,25.00,2,2,99.90,3,2,5.00,2,2,7.00,2,1,,,2,25.00,2,2,10.00,2,2,99.90,3
62151,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,022,KAMPUNG LAMA,1,3,6,8,2,4,6,1,2,4,0,0,0,0,0,0,0,1,60001,30012,70025,1,0385,0,1,0,0,0,0,0,0,0,0,4,2,1,1,MANDI 7 BULANAN,NAIK AYUN,,,,,,1,1,1,1,0,1,1,1,1,1,1,2,4,2,4,2,1,1,1,1,4,2,4,2,1,2,4,2,4,2,2,50.00,1,1,1,1,1,1,2,,,1,0,5,5,2,,,90,3,0,200,2,,,20,1,0,50,2,,,50,1,0,150,0,3,1,3,3,2,2,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,4,0,0,0,0,0,2,4,0,,,,0,0,0,2,4,5,0,10.00,2,0,15.00,2,0,6.00,2,1,,,1,,,10,,,3,,,0,50.00,2,5,,,0,5.00,2,1,,,1,4,6,8,0,5.00,2,0,5.00,2,0,12.00,2,2,20.00,2,2,5.00,2,2,5.00,2,1,,,1,,,1,,,2,15.00,2
62152,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,010,SEMBOJA,023,HANDIL BARU DARAT,1,4,6,8,2,4,6,1,2,2,0,0,0,0,0,0,0,1,60001,30012,70025,1,0385,1,0,0,0,2,0,0,0,0,0,4,3,1,1,,,,,,,,1,1,1,4,2,0,2,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,50.00,1,1,1,1,1,1,2,,,20,0,30,30,2,,,115,3,0,250,2,,,8,0,20,20,2,,,50,2,0,200,0,1,2,1,4,2,1,1,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,2,3,0,,,,0,0,1,2,4,6,0,15.00,2,0,15.00,2,0,10.00,2,3,,,1,,,12,,,5,,,0,8.00,2,2,,,0,8.00,2,0,10.00,2,1,4,6,8,1,,,0,50.00,2,0,50.00,2,2,99.90,3,2,20.00,2,1,,,1,,,2,20.00,2,1,,,2,50.00,2
62153,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,020,MUARA JAWA,001,TELUK DALAM,1,4,6,8,2,4,6,1,1,3,0,0,0,0,0,0,0,1,60001,70025,30012,1,1167,1,3,1,1,0,1,0,0,0,0,4,3,1,1,MANDI 7 BULANAN,NAIK AYUN,,,,,,1,1,1,6,1,1,1,1,1,1,1,1,1,1,4,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,2,13.00,1,2,1,3,,,2,,,13,0,30,40,2,,,138,3,0,300,2,,,50,1,0,100,2,,,73,2,0,200,0,1,2,0,1,3,3,1,3,4,2,4,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,5,0,0,0,0,2,3,0,,,,1,1,0,2,4,6,0,13.00,3,0,13.00,3,0,8.00,3,0,8.00,3,0,13.00,3,20,,,5,,,0,73.00,3,1,,,0,73.00,3,0,13.00,3,1,4,6,8,0,13.00,3,0,13.00,3,0,73.00,3,2,73.00,3,2,13.00,3,2,13.00,3,2,8.00,3,2,8.00,3,2,8.00,3,2,13.00,4
