Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R80101,R80102,R80103,R80104,R80105,R80106,R80107,R802,R803A,R803B,R803C,R803D,R803E,R803F,R803G,R803H,R803I,R804A1,R804A2A,R804A2B,R804A2C,R804B1,R804B2,R805A,R805B,R805C,R805D,R805E,R805F,R805G,R805H,R805I,R806,R807,R808,R809A,R809B,R8101K2,R8102K2,R8103K2,R8104K2,R8105K2,R8106K2,R8107K2,R811A,R811B,R811C,R811D,R811E,R811F,R901AK2,R901AK3,R901BK2,R901BK3,R901CK2,R901CK3,R901DK2,R901DK3,R901EK2,R901EK3,R901FK2,R901FK3,R901GK2,R901GK3,R901HK2,R901HK3,R901IK2,R901IK3,R901JK2,R901JK3,R901KK2,R901KK3,R901LK2,R901LK3,R902A,R902B,R1001A,R1001B1,R1001B2,R1001C1,R1001C2,R1001C3,R1002AK2,R1002AK3,R1002AK4,R1002AK5,R1002AJM,R1002AME,R1002AK7,R1002BK2,R1002BK3,R1002BK4,R1002BK5,R1002BJM,R1002BME,R1002BK7,R1002CK2,R1002CK3,R1002CK4,R1002CK5,R1002CJM,R1002CME,R1002CK7,R1002DK2,R1002DK3,R1002DK4,R1002DK5,R1002DJM,R1002DME,R1002DK7,R1003A,R1003B,R1004,R1005A,R1005B,R1005C,R1005D,R1006A,R1006B,R1007A,R1007B,R1007C,R1008AK2,R1008AK3,R1008BK2,R1008BK3,R1008CK2,R1008CK3,R1008DK2,R1008DK3,R1008EK2,R1008FK2,R1008GK2,R1201A,R1201B,R1201C,R1201D,R1201E,R1201F,R1201G,R1201H,R1202A,R1202B,R1202C,R1203A,R1203B,R1204A,R1204B,R1204C,R1204D,R1205A1,R1205A2,R1205A3,R1205B1,R1205B2,R1205B3,R1206AK2,R1206AK3,R1206AK4,R1206BK2,R1206BK3,R1206BK4,R1206CK2,R1206CK3,R1206CK4,R1206DK2,R1206DK3,R1206DK4,R1206EK2,R1206EK3,R1206EK4,R1206F1K2,R1206F1K3,R1206F1K4,R1206F2K2,R1206F2K3,R1206F2K4,R1206GK2,R1206GK3,R1206GK4,R1206HK2,R1206HK3,R1206HK4,R1206IK2,R1206IK3,R1206IK4,R1206JK2,R1206JK3,R1206JK4,R1207A,R1207B,R1207C,R1207D,R1208AK2,R1208AK3,R1208AK4,R1208BK2,R1208BK3,R1208BK4,R1208CK2,R1208CK3,R1208CK4,R1209AK2,R1209AK3,R1209AK4,R1209BK2,R1209BK3,R1209BK4,R1209CK2,R1209CK3,R1209CK4,R1209DK2,R1209DK3,R1209DK4,R1209EK2,R1209EK3,R1209EK4,R1209FK2,R1209FK3,R1209FK4,R1209GK2,R1209GK3,R1209GK4
62307,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,011,SEMANGKOK,1,3,6,8,2,4,6,1,6,7,0,0,0,0,0,0,0,1,70025,30012,60001,1,0554,0,0,0,0,0,0,0,0,0,0,4,3,1,1,,AQIQAH,,,KHATAMAN,,,1,1,0,34,0,0,1,1,1,1,1,1,4,2,4,2,4,2,1,1,4,2,4,2,4,2,4,2,4,2,2,50.00,1,1,1,3,,,3,1,1,7,0,20,50,2,,,120,3,0,750,2,,,20,0,30,100,2,,,50,1,0,300,0,1,2,3,3,2,2,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,0,3,0,0,0,0,2,3,0,,,,0,0,1,2,4,5,0,7.00,2,1,,,0,7.00,2,0,55.00,3,0,55.00,3,20,,,2,,,0,55.00,3,0,25.00,2,0,55.00,3,0,7.00,2,1,4,6,8,0,9.00,2,0,50.00,2,0,50.00,2,2,55.00,3,2,55.00,3,2,7.00,2,1,,,1,,,2,55.00,3,1,,
62308,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,001,BENUA PUHUN,1,3,6,8,2,4,6,1,2,1,0,0,0,0,0,0,0,1,60369,30012,70025,1,0455,0,0,5,5,3,5,1,0,0,0,4,2,1,1,"3,7 BULANAN","NAIK AYUN, TASMIAHAN",,,MANDI-MANDI,,HAUL,1,1,1,2,0,0,3,1,1,1,1,1,4,2,4,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,2,42.00,3,2,2,3,,,2,,,40,2,0,50,2,,,42,2,0,100,2,,,32,2,0,100,2,,,82,2,30,150,0,1,2,1,2,3,4,1,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,3,0,,,,0,0,0,2,4,6,0,45.00,2,0,45.00,2,1,,,1,,,0,46.00,2,4,,,70,,,0,46.00,2,10,,,0,46.00,2,0,46.00,2,1,4,6,8,0,42.00,2,0,42.00,2,0,75.00,3,2,75.00,3,2,42.00,2,2,42.00,2,1,,,1,,,2,42.00,2,1,,
62309,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,002,TERATAK,1,3,6,8,1,4,6,1,2,3,0,0,0,2,0,0,0,1,60369,30012,30002,1,0455,0,1,2,0,0,0,0,0,0,0,4,3,1,1,TUJUH BULANAN,TASMIAHAN,,,,,,1,1,1,12,0,0,3,1,1,1,1,1,4,2,4,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,2,45.00,3,2,2,3,,,2,,,35,1,30,40,2,,,45,2,30,60,2,,,20,1,0,30,2,,,75,3,0,75,0,1,2,1,2,3,4,1,3,4,2,4,1,1,2,,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,,0,0,0,2,4,6,0,45.00,2,0,45.00,2,1,,,0,40.00,2,0,45.00,2,20,,,5,,,0,45.00,2,2,,,0,45.00,2,0,45.00,2,1,4,6,8,0,40.00,2,0,45.00,2,0,45.00,2,2,46.00,2,2,40.00,2,2,40.00,2,1,,,1,,,2,40.00,2,1,,
62310,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,003,BUNGA JADI,1,3,5,8,1,4,6,1,7,14,1,1,0,1,0,0,0,1,30012,60369,70025,1,1167,2,2,0,1,1,1,0,0,1,0,4,2,1,1,PITON-PITON,TASMIAHAN,,,,,NGABEN,1,1,1,7,0,3,2,1,1,1,4,1,4,2,1,1,1,1,4,1,4,2,2,1,4,2,4,2,4,2,2,17.00,1,1,1,3,,,2,,,27,1,0,30,2,,,45,1,30,75,2,,,30,1,0,35,2,,,75,2,30,80,0,1,2,1,3,3,1,1,1,4,2,4,1,1,2,,1,1,2,,1,2,2,0,1,0,0,2,0,3,0,0,0,0,2,3,0,,,,0,0,0,2,4,5,0,45.00,2,0,45.00,2,1,,,0,25.00,2,0,17.00,2,1,,,50,,,0,45.00,2,4,,,0,45.00,2,0,16.00,2,1,4,6,8,0,14.00,2,0,45.00,2,0,45.00,2,2,45.00,2,2,14.00,2,2,14.00,2,1,,,1,,,1,,,1,,
62311,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,004,PANCA JAYA,1,3,5,8,2,4,6,1,3,13,1,1,0,0,0,0,0,1,30012,60369,30021,1,1167,0,0,1,1,1,2,0,0,0,0,4,2,2,1,,TASMIAH,,,,,,1,1,1,16,0,0,1,1,1,1,1,1,4,2,4,2,1,1,4,1,4,2,1,1,1,1,4,1,4,2,2,14.00,1,1,1,1,1,2,2,,,36,1,15,40,2,,,52,1,45,80,2,,,38,1,0,45,1,2,2,76,2,15,50,0,1,2,1,2,2,1,1,4,1,2,4,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,2,1,3,0,0,0,0,2,3,0,,,,0,0,0,2,4,5,0,53.00,3,0,52.00,3,1,,,0,25.00,2,1,,,40,,,3,,,0,52.00,3,12,,,0,52.00,3,1,,,1,4,6,8,0,8.00,2,0,52.00,3,0,52.00,3,2,52.00,3,2,8.00,2,2,8.00,2,1,,,1,,,2,8.00,2,2,3.00,2
62312,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,005,SIDO MUKTI,1,3,5,8,1,4,6,1,3,5,0,0,0,0,0,0,0,1,30012,30021,60369,1,0088,2,1,3,0,5,3,1,1,0,0,4,2,1,1,PITON-PITON,NAIK AYUN,,,MIDODAREN,,,1,5,1,16,0,5,2,1,2,1,1,1,4,2,4,2,4,1,1,1,4,2,4,1,4,1,1,1,4,2,2,11.00,1,2,1,1,1,2,2,,,39,1,30,40,2,,,49,1,45,80,2,,,35,1,0,40,1,2,2,73,2,0,50,0,1,2,1,2,2,1,1,2,4,2,4,1,2,1,2,1,1,1,1,1,1,1,0,5,0,0,0,1,0,0,0,0,0,2,3,0,,,,0,0,0,2,4,5,0,49.00,2,0,49.00,2,0,4.00,2,0,4.00,2,0,11.00,2,30,,,6,,,0,50.00,2,15,,,0,49.00,2,0,11.00,2,1,4,6,8,0,5.00,2,0,49.00,2,0,49.00,2,2,50.00,2,2,5.00,2,2,5.00,2,1,,,1,,,2,8.00,2,2,3.50,2
62313,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,006,SABINTULUNG,1,3,5,8,1,4,6,1,4,3,0,0,0,1,0,0,0,1,60369,30012,30002,1,0455,1,0,0,1,0,0,0,0,0,0,4,3,1,1,3 DAN 7 BULANAN,NAIK AYUN,,ERAU,MANDI-MANDIAN,,HAUL,1,1,1,8,0,0,2,1,1,2,1,1,4,2,4,2,1,2,4,1,4,2,4,1,1,2,4,2,4,2,2,47.00,3,2,2,3,,,2,,,15,0,30,10,2,,,75,2,0,100,2,,,49,1,15,50,2,,,95,2,30,125,0,1,2,1,1,2,1,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,2,3,0,,,,1,0,1,2,4,6,0,95.00,3,0,75.00,3,0,15.00,2,1,,,0,36.00,2,40,,,7,,,0,95.00,3,4,,,0,75.00,3,0,36.00,2,1,4,6,8,0,41.00,2,0,85.00,3,0,85.00,3,2,85.00,3,2,41.00,2,2,41.00,2,1,,,1,,,2,54.00,3,2,36.00,2
62314,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,007,RANTAU HEMPANG,1,3,6,8,2,4,6,1,2,4,0,0,0,0,0,0,0,1,60369,30012,30021,1,0455,0,0,0,0,1,7,0,0,0,0,4,1,1,1,"3, 7 BULANAN",NAIK AYUN,,,MANDI-MANDI,,HAUL,1,1,1,2,0,0,1,1,1,1,4,2,4,2,4,2,1,1,4,2,4,2,4,2,4,2,4,2,4,2,2,40.00,3,2,2,3,,,2,,,20,0,45,20,2,,,75,2,30,50,2,,,50,1,30,30,2,,,98,3,0,75,0,1,2,0,2,3,1,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,3,0,,,,0,0,1,2,4,6,0,98.00,3,0,75.00,3,0,20.00,2,0,20.00,2,0,36.00,2,13,,,5,,,0,98.00,3,2,,,0,75.00,3,0,36.00,2,1,4,6,8,0,33.00,2,0,75.00,3,0,98.00,3,2,75.00,3,2,32.00,2,2,32.00,2,1,,,1,,,2,32.00,2,1,,
62315,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,009,MUARA KAMAN ILIR,1,3,6,8,2,4,6,1,3,1,0,0,0,0,0,0,0,1,60369,30012,50071,1,0455,0,2,0,0,0,1,0,0,0,0,4,1,1,1,MANDI-MANDI,TASMIYAH,,,,,,1,1,1,7,0,1,2,1,2,1,1,1,4,2,4,2,1,1,1,1,4,2,4,1,4,2,4,2,4,2,2,50.00,1,2,1,2,1,2,2,,,1,0,5,5,2,,,77,2,0,350,2,,,10,0,30,150,2,,,107,2,30,600,0,1,2,0,3,2,2,1,4,4,2,4,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,,0,0,1,2,4,6,0,6.00,2,0,6.00,2,1,,,0,6.00,2,0,6.00,2,23,,,0,5.00,1,0,77.00,3,15,,,0,77.00,3,0,77.00,3,1,4,6,7,0,1.00,1,0,99.90,3,0,99.90,3,2,77.00,3,2,6.00,2,2,1.00,1,1,,,2,28.90,2,2,6.00,2,2,1.00,1
62316,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,150,MUARA KAMAN,010,MUARA KAMAN ULU,1,4,6,8,2,4,6,1,2,3,0,0,0,0,0,0,0,1,60369,30012,60001,2,0455,1,1,2,0,0,0,0,0,0,0,1,3,2,1,MANDI-MANDI,TASMIYAH,,,,,,3,0,0,6,4,3,2,1,1,1,1,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,30.00,3,1,2,2,1,2,2,,,1,0,5,5,2,,,110,2,0,600,2,,,28,0,30,200,2,,,117,3,0,750,0,1,1,0,3,2,2,1,3,4,2,2,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,,0,0,0,2,4,6,0,28.90,3,0,11.70,3,0,3.00,2,0,28.90,3,0,28.90,2,20,,,0,99.90,3,0,50.00,3,5,,,0,28.90,3,1,,,1,4,6,8,1,,,0,99.90,4,0,99.90,4,2,11.70,4,2,28.90,3,1,,,1,,,2,28.90,3,1,,,1,,
