Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R1301A,R1301B1K2,R1301B1K3,R1301B1K4,R1301B1K5,R1301B2K2,R1301B2K3,R1301B2K4,R1301B2K5,R1301B3K2,R1301B3K3,R1301B3K4,R1301B3K5,R1301B4K2,R1301B4K3,R1301B4K4,R1301B4K5,R1301B5K2,R1301B5K3,R1301B5K4,R1301B5K5,R1301B6K2,R1301B6K3,R1301B6K4,R1301B6K5,R1301B7K2,R1301B7K3,R1301B7K4,R1301B7K5,R1302A,R1302B,R1303A01K3,R1303A01K4,R1303A02K3,R1303A02K4,R1303A03K3,R1303A03K4,R1303A04K3,R1303A04K4,R1303A05K3,R1303A05K4,R1303A06K3,R1303A06K4,R1303A07K3,R1303A07K4,R1303A08K3,R1303A08K4,R1303A09K3,R1303A09K4,R1303A10K3,R1303A10K4,R1303A11K3,R1303A11K4,R1303B,R1304A,R1304B,R1304C,R1304D,R1304E,R1305,R1306A,R1306B1,R1306B2,R1306C1,R1306C2,R1307,R1308A,R1308B,R1309,R1403A,R1403B,R1404B,R1404C,R1404D,R1404E,R1405A1,R1405A2K1,R1405A2K2,R1405B,R1405C,R1405D,R1406A,R1406B,R1407,R1601A1K2,R1601A1K3,R1601A1K4,R1601A1K5,R1601A2K2,R1601A2K3,R1601A2K4,R1601A2K5,R1601A3K2,R1601A3K3,R1601A3K4,R1601A3K5,R1601A4K2,R1601A4K3,R1601A4K4,R1601A4K5,R1601A5K2,R1601A5K3,R1601A5K4,R1601A5K5,R1601A6K2,R1601A6K3,R1601A6K4,R1601A6K5,R1601A7K2,R1601A7K3,R1601A7K4,R1601A7K5,R1601A8K2,R1601A8K3,R1601A8K4,R1601A8K5,R1601A9K2,R1601A9K3,R1601A9K4,R1601A9K5,R1601A10K2,R1601A10K3,R1601A10K4,R1601A10K5,R1601B1K2,R1601B1K3,R1601B1K4,R1601B1K5,R1601B2K2,R1601B2K3,R1601B2K4,R1601B2K5,R1601B3K2,R1601B3K3,R1601B3K4,R1601B3K5,R1601B4K2,R1601B4K3,R1601B4K4,R1601B4K5,R1601B5K2,R1601B5K3,R1601B5K4,R1601B5K5,R1601B6K2,R1601B6K3,R1601B6K4,R1601B6K5,R1601B7K2,R1601B7K3,R1601B7K4,R1601B7K5,R1601B8K2,R1601B8K3,R1601B8K4,R1601B8K5,R1601B9K2,R1601B9K3,R1601B9K4,R1601B9K5,R1601B10K2,R1601B10K3,R1601B10K4,R1601B10K5,R1701AK2,R1701AK3,R1701AK4,R1701AK5,R1701BK2,R1701BK3,R1701BK4,R1701BK5,R1702A,R1702B,R1702C,R1702D
62765,64,KALIMANTAN TIMUR,72,SAMARINDA,020,SAMARINDA ILIR,014,PELITA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,2,2,,2,,1,2,2,,2,,2,,2,,7,1,3,6,7,1,2,2,,,4.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,1,1,16,61,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,56,1,8,1,56,1,7,1,3,46,4
62766,64,KALIMANTAN TIMUR,72,SAMARINDA,021,SAMARINDA KOTA,001,BUGIS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,1,1,3,5,7,1,27,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,1,1,1,4,2,,,,1,4,8,4,1,4,8,8,1,1,8,8,1,1,4,8,1,4,4,8,2,,,,1,4,4,4,1,1,32,8,1,1,32,8,1,4,4,8,2,,,,2,,,,2,,,,1,4,4,4,1,1,4,4,1,1,4,4,1,1,4,4,,,,,1,51,2,7,1,49,1,7,12,3,19,10
62767,64,KALIMANTAN TIMUR,72,SAMARINDA,021,SAMARINDA KOTA,002,PASAR PAGI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,1,3,6,7,1,30,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,58,2,7,1,56,2,6,12,3,24,11
62768,64,KALIMANTAN TIMUR,72,SAMARINDA,021,SAMARINDA KOTA,003,PELABUHAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,3,1,2,2,,2,,1,3,1,2,2,,2,,2,,1,1,3,5,7,1,30,1,2,0,,,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,4,4,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,4,4,1,1,4,4,1,1,32,32,,,,,1,27,1,7,1,51,1,7,2,3,38,17
62769,64,KALIMANTAN TIMUR,72,SAMARINDA,021,SAMARINDA KOTA,004,SUNGAI PINANG LUAR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,,2,,2,,2,,1,3,1,2,2,,2,,2,,1,1,3,5,7,2,32,2,,,1.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,53,1,5,2,,,,0,3,37,18
62770,64,KALIMANTAN TIMUR,72,SAMARINDA,021,SAMARINDA KOTA,005,KARANG MUMUS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,4,6,7,1,18,1,2,0,,,0,2,4,2,,,,,,,,,,,,,,,,1,1,32,8,2,,,,1,4,8,8,1,1,32,8,2,,,,1,4,16,8,2,,,,1,4,16,8,2,,,,1,1,16,8,1,14,16,8,1,1,16,8,2,,,,2,,,,1,4,16,8,1,4,16,8,2,,,,1,1,16,8,1,1,16,8,,,,,1,48,1,7,1,55,1,7,2,3,29,19
62771,64,KALIMANTAN TIMUR,72,SAMARINDA,022,SAMBUTAN,001,PULAU ATAS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,3,6,7,1,3,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,57,1,7,1,32,1,7,2,3,8,5
62772,64,KALIMANTAN TIMUR,72,SAMARINDA,022,SAMBUTAN,002,SINDANG SARI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,1,4,6,7,1,3,2,,,6.00,2,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,8,8,8,1,8,16,16,2,,,,2,,,,2,,,,1,4,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,53,1,8,1,52,1,7,4,6,10,3
62773,64,KALIMANTAN TIMUR,72,SAMARINDA,022,SAMBUTAN,003,MAKROMAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,1,1,3,6,7,1,3,2,,,1.00,2,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,53,1,8,1,50,1,7,2,8,27,4
62774,64,KALIMANTAN TIMUR,72,SAMARINDA,022,SAMBUTAN,004,SAMBUTAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,2,2,,2,,2,,1,2,2,,2,,2,,2,,1,1,3,6,7,1,6,2,,,10.00,2,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,36,1,7,1,48,2,7,4,12,40,6
62775,64,KALIMANTAN TIMUR,72,SAMARINDA,022,SAMBUTAN,005,SUNGAI KAPIH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,2,,1,2,2,,2,,1,2,2,,1,2,2,,2,,1,1,4,6,7,1,4,2,,,6.00,3,1,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,34,1,8,1,41,1,7,2,3,25,14
62776,64,KALIMANTAN TIMUR,72,SAMARINDA,030,SAMARINDA SEBERANG,001,MESJID,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,4,6,7,1,2,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,1,12,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,1,1,32,32,2,,,,2,,,,1,1,32,32,2,,,,1,1,32,32,1,1,32,32,1,1,32,32,,,,,1,51,1,8,2,,,,2,6,21,2
62777,64,KALIMANTAN TIMUR,72,SAMARINDA,030,SAMARINDA SEBERANG,002,BAQA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,4,6,7,1,1,2,,,0.30,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,,,,,1,53,1,7,1,53,1,5,2,9,22,1
62778,64,KALIMANTAN TIMUR,72,SAMARINDA,030,SAMARINDA SEBERANG,005,SUNGAI KELEDANG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,4,6,7,1,2,2,,,30.00,2,0,1,4,2,,,,,,,,,,,,,,,,1,5,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,5,32,32,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,1,1,32,32,,,,,1,52,1,8,1,58,1,5,2,10,36,2
62779,64,KALIMANTAN TIMUR,72,SAMARINDA,030,SAMARINDA SEBERANG,006,MANGKUPALAS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,2,,1,1,1,1,2,,2,,2,,1,1,4,6,7,1,1,2,,,1.00,1,0,2,4,2,,,,,,,,,,,,,,,,1,4,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,40,8,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,1,1,32,32,,,,,1,31,1,8,1,50,1,8,2,7,19,2
62780,64,KALIMANTAN TIMUR,72,SAMARINDA,030,SAMARINDA SEBERANG,007,TENUN SAMARINDA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,4,6,7,1,1,2,,,0.50,1,0,2,4,2,,,,,,,,,,,,,,,,1,4,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,1,1,32,32,,,,,1,48,2,8,1,51,1,7,2,9,13,1
