Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R1301A,R1301B1K2,R1301B1K3,R1301B1K4,R1301B1K5,R1301B2K2,R1301B2K3,R1301B2K4,R1301B2K5,R1301B3K2,R1301B3K3,R1301B3K4,R1301B3K5,R1301B4K2,R1301B4K3,R1301B4K4,R1301B4K5,R1301B5K2,R1301B5K3,R1301B5K4,R1301B5K5,R1301B6K2,R1301B6K3,R1301B6K4,R1301B6K5,R1301B7K2,R1301B7K3,R1301B7K4,R1301B7K5,R1302A,R1302B,R1303A01K3,R1303A01K4,R1303A02K3,R1303A02K4,R1303A03K3,R1303A03K4,R1303A04K3,R1303A04K4,R1303A05K3,R1303A05K4,R1303A06K3,R1303A06K4,R1303A07K3,R1303A07K4,R1303A08K3,R1303A08K4,R1303A09K3,R1303A09K4,R1303A10K3,R1303A10K4,R1303A11K3,R1303A11K4,R1303B,R1304A,R1304B,R1304C,R1304D,R1304E,R1305,R1306A,R1306B1,R1306B2,R1306C1,R1306C2,R1307,R1308A,R1308B,R1309,R1403A,R1403B,R1404B,R1404C,R1404D,R1404E,R1405A1,R1405A2K1,R1405A2K2,R1405B,R1405C,R1405D,R1406A,R1406B,R1407,R1601A1K2,R1601A1K3,R1601A1K4,R1601A1K5,R1601A2K2,R1601A2K3,R1601A2K4,R1601A2K5,R1601A3K2,R1601A3K3,R1601A3K4,R1601A3K5,R1601A4K2,R1601A4K3,R1601A4K4,R1601A4K5,R1601A5K2,R1601A5K3,R1601A5K4,R1601A5K5,R1601A6K2,R1601A6K3,R1601A6K4,R1601A6K5,R1601A7K2,R1601A7K3,R1601A7K4,R1601A7K5,R1601A8K2,R1601A8K3,R1601A8K4,R1601A8K5,R1601A9K2,R1601A9K3,R1601A9K4,R1601A9K5,R1601A10K2,R1601A10K3,R1601A10K4,R1601A10K5,R1601B1K2,R1601B1K3,R1601B1K4,R1601B1K5,R1601B2K2,R1601B2K3,R1601B2K4,R1601B2K5,R1601B3K2,R1601B3K3,R1601B3K4,R1601B3K5,R1601B4K2,R1601B4K3,R1601B4K4,R1601B4K5,R1601B5K2,R1601B5K3,R1601B5K4,R1601B5K5,R1601B6K2,R1601B6K3,R1601B6K4,R1601B6K5,R1601B7K2,R1601B7K3,R1601B7K4,R1601B7K5,R1601B8K2,R1601B8K3,R1601B8K4,R1601B8K5,R1601B9K2,R1601B9K3,R1601B9K4,R1601B9K5,R1601B10K2,R1601B10K3,R1601B10K4,R1601B10K5,R1701AK2,R1701AK3,R1701AK4,R1701AK5,R1701BK2,R1701BK3,R1701BK4,R1701BK5,R1702A,R1702B,R1702C,R1702D
62781,64,KALIMANTAN TIMUR,72,SAMARINDA,030,SAMARINDA SEBERANG,008,GUNUNG PANJANG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,4,6,8,2,1,2,,,5.00,2,0,2,4,2,,,,,,,,,,,,,,,,1,4,3,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,1,1,32,32,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,32,32,1,1,32,32,,,,,1,50,1,7,1,45,2,8,2,9,8,3
62782,64,KALIMANTAN TIMUR,72,SAMARINDA,031,LOA JANAN ILIR,001,SENGKOTEK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,,1,1,2,,2,,1,2,2,,1,1,2,,1,2,1,1,3,6,7,1,1,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,57,2,8,1,36,1,7,3,6,20,3
62783,64,KALIMANTAN TIMUR,72,SAMARINDA,031,LOA JANAN ILIR,002,SIMPANG TIGA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,1,2,2,,2,,1,2,1,2,2,,2,,2,,1,1,4,6,7,1,1,2,,,10.00,1,0,1,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,4,4,1,1,4,4,2,,,,2,,,,,,,,1,54,1,7,1,51,2,5,3,6,30,3
62784,64,KALIMANTAN TIMUR,72,SAMARINDA,031,LOA JANAN ILIR,003,TANI AMAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,3,6,7,1,1,2,,,20.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,4,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,52,2,8,1,30,1,7,3,6,20,3
62785,64,KALIMANTAN TIMUR,72,SAMARINDA,031,LOA JANAN ILIR,004,HARAPAN BARU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,1,1,2,,2,,2,,1,2,1,1,2,,2,,1,2,1,1,4,6,7,1,1,2,,,3.00,1,0,2,4,1,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,52,2,7,1,52,1,7,3,6,3,3
62786,64,KALIMANTAN TIMUR,72,SAMARINDA,031,LOA JANAN ILIR,005,RAPAK DALAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,1,2,1,1,2,,2,,1,2,1,1,2,,2,,1,2,1,1,3,6,7,1,1,2,,,1.50,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,55,1,7,1,50,1,8,3,6,29,3
62787,64,KALIMANTAN TIMUR,72,SAMARINDA,040,SUNGAI KUNJANG,001,LOA BUAH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,2,1,1,2,,2,,1,1,1,2,1,1,2,,2,,1,1,3,5,7,1,1,1,0,1,,,0,1,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,1,1,32,8,2,,,,1,1,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,4,4,8,2,,,,2,,,,,,,,1,52,1,6,1,51,1,8,5,8,20,3
62788,64,KALIMANTAN TIMUR,72,SAMARINDA,040,SUNGAI KUNJANG,002,LOA BAKUNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,7,1,3,5,8,1,1,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,1,8,16,8,1,1,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,8,16,8,1,1,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,52,1,7,1,50,1,7,4,12,83,3
62789,64,KALIMANTAN TIMUR,72,SAMARINDA,040,SUNGAI KUNJANG,003,KARANG ASAM ULU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,1,2,2,,2,,1,2,1,2,2,,2,,2,,1,1,3,6,7,1,0,1,3,0,,,0,2,4,2,,,,,,,,,,,,,,,,1,1,16,8,2,,,,2,,,,1,8,16,8,1,4,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,4,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,46,2,8,1,46,2,7,6,11,41,3
62790,64,KALIMANTAN TIMUR,72,SAMARINDA,040,SUNGAI KUNJANG,004,TELUK LERONG ULU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,1,4,6,7,2,1,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,1,1,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,8,16,8,1,1,32,8,2,,,,2,,,,2,,,,1,1,16,8,2,,,,2,,,,2,,,,1,1,16,8,,,,,1,56,1,8,1,56,1,5,6,11,42,3
62791,64,KALIMANTAN TIMUR,72,SAMARINDA,040,SUNGAI KUNJANG,005,LOK BAHU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,,2,,2,,2,,1,1,2,,2,,2,,1,1,3,5,7,1,9,2,,,4.00,2,2,2,4,2,,,,,,,,,,,,,,,,1,1,16,8,2,,,,2,,,,2,,,,1,1,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,16,8,1,8,16,8,2,,,,2,,,,2,,,,2,,,,1,4,16,8,1,4,16,8,1,1,16,8,,,,,1,55,1,5,1,47,1,7,2,10,48,2
62792,64,KALIMANTAN TIMUR,72,SAMARINDA,040,SUNGAI KUNJANG,006,KARANG ASAM ILIR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,1,1,2,,1,1,1,1,1,1,2,,2,,2,,1,1,3,5,7,2,66,2,,,1.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,1,1,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,53,1,7,1,56,2,7,4,10,35,2
62793,64,KALIMANTAN TIMUR,72,SAMARINDA,040,SUNGAI KUNJANG,007,KARANG ANYAR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,,2,,2,,1,1,2,,2,,2,,1,1,3,5,7,1,68,1,1,0,,,0,1,4,2,,,,,,,,,,,,,,,,1,8,16,8,2,,,,2,,,,1,1,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,16,8,,,,,1,36,1,8,1,45,1,8,3,13,37,3
62794,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,001,TELUK LERONG ILIR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,3,1,2,2,,2,,1,3,2,,2,,2,,2,,7,1,3,6,8,2,8,2,,,3.50,1,0,1,4,2,,,,,,,,,,,,,,,,1,4,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,33,1,7,1,39,2,7,1,3,30,20
62795,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,002,JAWA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,1,2,2,,1,1,1,2,2,,2,,2,,2,,1,2,4,6,8,2,3,2,,,3.00,1,1,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,31,2,8,1,49,1,7,2,3,40,15
62796,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,004,DADI MULYA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,2,,1,3,2,,2,,1,3,1,3,2,,2,,2,,1,1,3,5,7,2,21,2,,,4.10,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,48,1,8,1,51,1,7,1,4,40,27
62797,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,005,SIDODADI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,,2,,2,,2,,1,3,1,3,2,,2,,2,,7,2,3,5,7,2,6,2,,,2.00,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,1,1,16,8,2,,,,1,1,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,50,2,7,1,58,1,5,1,3,60,21
62798,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,006,GUNUNG KELUA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,2,,1,2,2,,1,2,2,,1,1,2,,2,,1,1,3,5,7,1,4,2,,,3.60,1,0,1,3,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,48,1,7,1,46,1,7,1,3,38,17
62799,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,007,AIR HITAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,2,2,,2,,1,3,2,,2,,2,,2,,4,1,4,6,7,2,3,2,,,36.00,1,0,1,4,2,,,,,,,,,,,,,,,,1,1,16,8,2,,,,2,,,,1,8,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,50,2,5,1,41,1,7,1,3,35,20
62800,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,008,AIR PUTIH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,2,1,1,2,,1,1,1,3,2,,2,,2,,2,,1,1,3,5,8,1,57,2,,,1.10,1,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,16,8,1,1,16,8,1,1,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,55,1,7,1,52,1,7,2,3,60,19
62801,64,KALIMANTAN TIMUR,72,SAMARINDA,050,SAMARINDA ULU,009,BUKIT PINANG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,3,6,7,1,4,1,1,0,,,0,2,4,1,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,47,1,8,1,37,1,8,2,3,21,19
62802,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,004,LEMPAKE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,3,2,,2,,2,,1,2,1,2,2,,2,,2,,1,1,3,6,7,1,2,2,,,9.00,2,0,2,4,2,,,,,,,,,,,,,,,,1,5,48,8,2,,,,2,,,,1,1,48,8,2,,,,2,,,,1,1,48,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,52,1,7,1,30,2,8,1,3,48,10
62803,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,005,SEMPAJA SELATAN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,1,1,4,6,7,2,2,2,,,3.00,1,1,2,4,2,,,,,,,,,,,,,,,,1,1,48,8,2,,,,2,,,,1,1,48,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,55,1,7,1,50,1,7,2,3,33,9
62804,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,006,SUNGAI SIRING,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,4,6,7,2,1,1,2,0,,,0,2,4,2,,,,,,,,,,,,,,,,1,1,16,40,2,,,,2,,,,1,1,16,40,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,46,1,7,1,56,1,8,2,3,13,10
62805,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,010,TANAH MERAH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,1,1,4,6,7,2,1,2,,,12.00,2,1,2,4,2,,,,,,,,,,,,,,,,1,1,1,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,34,1,8,1,40,1,7,2,3,31,7
62806,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,011,SEMPAJA UTARA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,1,1,4,6,7,2,2,2,,,10.00,1,0,2,4,2,,,,,,,,,,,,,,,,1,1,24,48,2,,,,2,,,,1,1,24,48,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,57,1,7,1,53,2,5,2,3,43,12
62807,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,012,SEMPAJA TIMUR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,1,3,2,,2,,1,2,2,,2,,2,,2,,7,1,3,6,7,1,2,2,,,20.00,1,0,2,3,2,,,,,,,,,,,,,,,,1,1,16,48,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,55,1,5,1,51,1,7,2,3,50,19
62808,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,013,SEMPAJA BARAT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,1,1,4,6,7,2,2,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,1,1,16,24,2,,,,2,,,,1,1,16,24,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,39,1,8,1,54,1,8,2,3,12,15
62809,64,KALIMANTAN TIMUR,72,SAMARINDA,060,SAMARINDA UTARA,014,BUDAYA PAMPANG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,7,1,3,6,7,1,0,2,,,21.00,3,1,2,4,2,,,,,,,,,,,,,,,,1,1,16,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,2,48,4,2,,,,2,,,,1,1,32,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,53,1,8,1,45,1,7,2,2,6,3
62810,64,KALIMANTAN TIMUR,72,SAMARINDA,061,SUNGAI PINANG,001,TEMINDUNG PERMAI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,1,1,3,6,7,1,2,2,,,1.00,2,0,2,4,1,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,30,1,8,1,55,2,7,12,2,39,4
62811,64,KALIMANTAN TIMUR,72,SAMARINDA,061,SUNGAI PINANG,002,BANDARA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,1,1,2,,2,,1,1,2,,2,,2,,2,,7,1,3,6,7,1,1,2,,,5.00,1,0,2,4,2,,,,,,,,,,,,,,,,1,1,8,8,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,8,16,8,1,8,32,8,2,,,,1,8,16,8,1,8,8,8,1,8,8,8,1,8,8,8,1,8,8,8,,,,,1,34,1,8,1,57,2,7,2,22,29,1
62812,64,KALIMANTAN TIMUR,72,SAMARINDA,061,SUNGAI PINANG,003,SUNGAI PINANG DALAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,1,1,2,,2,,1,3,2,,2,,2,,2,,1,1,3,6,8,1,3,1,1,0,,,0,2,4,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,1,31,1,7,1,46,2,7,2,23,14,3
62813,64,KALIMANTAN TIMUR,72,SAMARINDA,061,SUNGAI PINANG,004,MUGIREJO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,1,2,2,,2,,2,,1,2,1,2,2,,2,,2,,1,1,3,6,7,1,2,2,,,40.00,2,0,1,3,1,,,,,,,,,,,,,,,,1,2,24,24,2,,,,2,,,,1,2,24,24,1,8,32,24,1,8,8,24,2,,,,1,4,24,24,2,,,,2,,,,1,8,32,24,1,2,32,24,1,8,32,24,1,8,32,24,1,2,32,24,1,2,32,24,1,2,32,24,1,2,32,24,1,2,32,24,,,,,1,53,1,8,1,51,1,7,2,14,43,1
62814,64,KALIMANTAN TIMUR,72,SAMARINDA,061,SUNGAI PINANG,005,GUNUNG LINGAI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,1,1,4,6,8,1,3,2,,,1.50,2,0,2,3,2,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,8,8,1,1,8,8,,,,,1,50,1,8,1,58,1,5,2,10,23,4
