Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R301,R302A,R302B,R302C,R303,R304A,R304B,R304C,R305A1,R305B,R305C,R306A,R306B,R306C,R306D,R307A,R308A,R308B1A,R308B1B,R308B1C,R308B1D,R308B1E,R308B2,R308B3,R309A,R309B,R309C,R402A,R402B1,R402B2,R402C,R403A,R403B,R403C1,R403C2,R404A,R404B1,R404B2,R404C,R501A1,R501A2,R501B,R502A,R502B,R503A1,R503A2,R503A3,R503A4,R503A5,R503A6,R503B,R503C,R504A1,R504A2,R504A3,R504A4,R504A5,R504B,R504C,R505A,R505B,R506,R507A,R507B,R508A,R508B,R508C1,R508C2,R508C3,R509AK2,R509AK3,R509AK4,R509AK5,R509B1K2,R509B1K3,R509B1K4,R509B1K5,R509B2K2,R509B2K3,R509B2K4,R509B2K5,R509B3K2,R509B3K3,R509B3K4,R509B3K5,R509B4K2,R509B4K3,R509B4K4,R509B4K5,R509B5K2,R509B5K3,R509B5K4,R509B5K5,R509B6K2,R509B6K3,R509B6K4,R509B6K5,R509B7K2,R509B7K3,R509B7K4,R509B8K2,R509B8K3,R509B8K4,R509B8K5,R509B9K2,R509B9K4,R509B9K5,R509B10K2,R509B10K4,R509B10K5,R510B,R510C1,R510C2,R510C3,R510D1,R510D2A,R510D2B,R510D2C,R510D3,R511A,R511B,R512A,R512B1,R512B2,R512B3,R513AK2,R513AK3,R513ALK3,R513AK4,R513BK2,R513BK3,R513BLK3,R513BK4,R513CK2,R513CK3,R513CLK3,R513CK4,R514A,R514B,R515,R516
62740,64,KALIMANTAN TIMUR,71,BALIKPAPAN,030,BALIKPAPAN UTARA,003,BATU AMPAR,2,1,30,8,1,1,1,70,1,3,2,1,2,1,1,1,1,1,4,6,8,2,1,1,3,,,3,,,2,4,,,,2,,,,12963,0,0,1,1,2,3,5,7,2,4,2,,1,3,6,8,2,1,1,1,1,2,2,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,,,,2,,,2,,,,1,,,1,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62741,64,KALIMANTAN TIMUR,71,BALIKPAPAN,030,BALIKPAPAN UTARA,004,KARANG JOANG,2,1,22,8,1,1,1,61,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,1,3,1,1,1,MANISAN SALAK,-,3,8574,0,21,2,1,2,3,5,7,1,4,3,1,1,3,6,8,2,1,1,1,1,4,2,1,2,,,,,1,2,1,2,2,,2,,2,,1,,1,,1,,2,,2,,2,,1,,1,,1,,2,,2,2,,2,,2,2,,2,2,,2,,,,2,,,,,2,0,2,,,,2,,,,2,,,,2,,,,1,1,1,2
62742,64,KALIMANTAN TIMUR,71,BALIKPAPAN,030,BALIKPAPAN UTARA,005,GUNUNG SAMARINDA BARU,2,1,14,2,1,1,1,31,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,2,,,2,4,,,,1,ABON KEPITING,-,3,3662,0,0,1,1,2,3,5,8,2,4,3,,1,4,6,8,2,1,1,1,1,2,2,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,1,1,8,4,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62743,64,KALIMANTAN TIMUR,71,BALIKPAPAN,030,BALIKPAPAN UTARA,006,GRAHA INDAH,2,1,30,8,1,1,1,66,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,3,,,,2,,,,13025,0,0,1,1,2,3,5,7,2,4,2,,1,3,6,8,2,1,1,1,1,2,2,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62276,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,001,SEPATIN,1,1,9,20,1,1,2,14,1,3,2,1,1,1,1,1,1,1,3,6,8,2,1,1,3,,,2,,,2,1,14,4,,1,UDANG,TIDAK ADA,1,0,1000,119,3,,2,3,5,8,1,4,3,2,2,4,5,8,2,3,3,1,2,3,9,7,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,14,1000,1119,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,3,2,2
62277,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,002,MUARA PANTUAN,1,1,9,10,1,1,2,21,1,3,2,1,1,1,1,1,1,1,3,6,8,2,1,1,3,,,3,,,2,1,14,4,,1,UDANG ATAU IKAN,-,3,415,201,901,3,,2,3,5,8,1,4,3,3,2,4,5,8,2,3,3,1,2,3,9,7,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,3,1125,1517,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,3,2,2
62278,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,003,TANI BARU,1,1,9,2,1,1,2,20,1,3,2,1,1,1,1,1,1,1,3,6,8,1,1,1,2,2,2,2,,,2,1,15,4,,1,UDANG,TIDAK ADA,1,0,450,437,3,,2,3,5,8,2,4,2,,2,4,5,8,2,3,3,1,2,3,9,7,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,4,887,887,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,3,2,2
62279,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,004,KUTAI LAMA,1,1,9,15,1,1,2,11,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,14,1,2,2,,,,855,119,0,3,,2,3,5,8,1,4,2,3,2,3,5,8,2,3,1,1,1,1,2,5,2,,,,,1,2,2,2,1,,,,2,,,,1,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,4,828,828,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,1,1,2,1
62280,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,005,ANGGANA,1,1,9,3,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,2,,,,2,,,,955,220,0,2,2,2,3,5,7,1,4,2,3,1,3,6,8,2,1,3,1,1,2,3,1,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,1,,,,2,,,2,,,,2,,,2,,,1,3,100,500,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62281,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,006,SUNGAI MERIAM,1,1,9,15,1,1,2,28,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,14,2,1,1,UDANG,TIDAK ADA,1,3789,0,0,2,1,2,3,5,7,2,4,2,,1,3,6,8,2,1,1,1,1,2,3,1,2,,,,,1,2,2,2,1,,,,2,,,,1,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,1,824,824,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,1
62282,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,007,SIDOMULYO,1,1,9,16,1,1,2,16,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,2,3,1,PADI,TIDAK ADA,3,1121,0,0,2,1,2,3,5,8,1,4,3,3,1,3,5,8,2,3,1,1,1,2,2,1,2,,,,,1,1,2,2,2,2,,,2,2,,,2,2,,,1,1,,,2,2,,,2,2,,,2,2,,2,2,,,2,,,2,,,1,1,10,10,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62283,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,120,ANGGANA,008,HANDIL TERUSAN,1,1,9,36,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,2,3,3,1,TIDAK ADA,LADA,3,964,220,0,3,,2,3,5,8,1,4,2,3,2,3,6,8,2,2,3,1,1,2,2,3,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,6,534,534,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,1,3,2,2
62337,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,001,GENTING TANAH,1,1,9,6,1,1,1,18,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,1,2,1,0,SERAUNG,3,812,3,1,1,1,2,3,5,8,2,4,3,,2,4,5,8,2,3,3,2,3,4,2,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,1,1
62338,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,002,LOA SAKOH,1,1,5,3,1,1,1,2,1,3,2,1,1,1,1,1,2,,,,,,,,1,1,3,2,,,2,1,5,1,2,1,-,SERAUNG,3,174,0,0,3,,2,3,6,8,1,4,2,2,2,4,5,8,2,3,3,1,3,1,2,1,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,1,5,6,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62339,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,003,HAMBAU,1,1,9,3,1,1,1,16,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,5,4,,2,,,,1084,0,0,2,1,2,3,5,8,2,4,2,,2,4,5,8,2,3,3,1,1,4,2,1,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,1,2
62340,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,004,KEMBANG JANGGUT,1,1,9,2,1,1,1,15,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,5,1,1,1,-,KELAPA SAWIT,3,1364,0,0,2,1,2,3,5,8,2,4,2,,2,4,5,8,2,3,3,1,1,4,2,1,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,1,1
62341,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,005,KELEKAT,1,1,7,3,1,1,1,10,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,3,2,2,,,,812,0,0,3,,2,3,5,8,1,4,2,3,2,3,5,8,2,3,3,1,1,4,2,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,2,0,2,,,,1,2,,1,2,,,,2,,,,3,3,1,2
62342,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,006,PULAU PINANG,1,1,5,5,1,1,1,10,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,2,2,2,,,,325,175,0,3,,2,3,5,8,1,4,2,3,2,3,5,8,2,3,3,1,1,4,2,6,2,,,,,1,2,1,2,1,,1,,2,,2,,1,,2,,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,2,,2,2,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,2,2,2,1
62343,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,007,LONG BELEH HALOQ,1,1,9,1,1,1,1,9,1,3,2,1,1,2,1,1,2,,,,,,,,3,,,2,,,2,1,5,2,2,2,,,,963,57,0,3,,2,3,5,7,1,4,2,3,2,3,5,8,2,2,3,1,1,4,2,4,1,1,1,4,4,1,2,1,2,1,,1,,1,,2,,1,,2,,2,,2,,2,,2,,2,,1,,1,,2,2,,2,,2,2,,2,2,,1,1,20,32,2,,,,,3,0,2,,,,2,,,,2,,,,1,1,,2,3,3,2,1
62344,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,008,LONG BELEH MODANG,1,1,9,6,1,1,2,13,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,3,2,1,-,IKAT PINGGANG DARI ULIN,3,912,20,0,3,,2,3,5,8,1,4,2,3,2,3,5,8,2,3,3,1,1,4,2,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,2,,,,1,,,2,,,,2,,,2,,,1,1,20,20,1,1,4,6,3,3,0,2,,,,1,2,,1,2,,,,2,,,,1,3,1,1
62345,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,009,BUKIT LAYANG,1,1,7,6,1,1,1,8,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,3,2,2,,,,545,57,0,3,,2,3,5,8,1,4,2,3,1,3,5,8,2,2,3,1,1,4,2,6,1,1,1,4,4,1,2,2,2,1,,,,2,,,,1,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,2,0,2,,,,2,,,,2,,,,2,,,,3,3,1,1
62346,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,010,MUAI,1,1,9,2,1,1,1,9,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,2,2,2,,,,647,0,0,3,,2,3,5,8,1,4,2,3,2,3,5,8,2,3,3,1,1,4,7,3,1,2,,,,1,2,2,2,1,,,,2,,,,1,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,1,0,2,,,,1,2,,1,1,2,,1,1,2,,1,3,3,1,1
62347,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,170,KEMBANG JANGGUT,011,PERDANA,1,1,7,4,1,1,2,7,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,3,2,2,,,,534,0,0,3,,2,3,5,8,1,4,2,3,2,3,5,8,2,2,3,1,1,4,2,6,2,,,,,1,2,1,2,1,,2,,1,,2,,1,,2,,2,,2,,2,,2,,1,,1,,2,,2,2,,2,,2,2,,2,2,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,1
62328,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,001,SEMAYANG,1,1,5,2,1,1,2,12,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,14,4,,1,IKAN ASIN,-,3,375,0,0,1,1,2,3,6,8,2,4,2,,2,4,5,8,2,3,3,1,2,3,2,6,2,,,,,1,2,1,2,1,,2,,1,,2,,1,,2,,2,,2,,2,,2,,1,,1,,1,,1,2,,2,,2,2,,2,2,,2,,,,1,1,4,6,2,2,0,2,,,,1,2,,1,2,,,,2,,,,3,3,1,2
62329,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,002,TUBUHAN,1,1,5,2,1,1,1,7,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,14,2,2,1,IKAN ASIN,-,3,244,49,0,2,1,2,3,6,8,1,4,2,2,2,4,5,8,2,3,3,1,2,3,2,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,1,245,293,2,,,,,2,0,2,,,,2,,,,2,,,,2,,,,3,3,1,2
62330,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,003,TELUK MUDA,1,1,5,10,1,1,1,6,1,3,2,1,1,2,1,1,2,,,,,,,,3,,,2,,,2,1,13,3,2,1,PISANG PIPIH ATAU LEMPOK,-,3,0,214,2,3,,2,3,6,8,1,4,2,2,2,4,5,8,2,3,3,1,2,3,2,6,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,1,1,3,6,2,3,0,2,,,,1,2,,2,2,,,,2,,,,3,3,2,2
62331,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,004,TUANA TUHA,1,1,9,17,1,1,1,15,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,3,2,2,,,,757,73,0,1,1,2,3,5,8,1,4,2,2,1,4,5,8,2,1,1,1,2,3,2,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,1,2
62332,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,005,KAHALA,1,1,7,3,1,1,1,10,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,3,2,2,,,,355,151,12,1,1,2,3,5,7,1,4,3,2,1,3,6,8,2,1,1,1,2,3,2,6,2,,,,,1,1,1,2,1,2,2,,1,2,2,,1,2,2,,1,1,2,,2,2,2,,1,2,1,,1,2,1,2,2,2,,2,2,,2,2,,1,1,100,100,1,1,4,6,1,2,0,2,,,,1,2,,1,2,,,,2,,,,3,3,1,1
62333,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,006,TELUK BINGKAI,1,1,5,1,1,1,2,9,1,3,2,1,1,1,1,1,2,,,,,,,,2,2,2,2,,,2,1,5,2,2,2,,,,271,20,0,3,,2,3,6,8,2,4,2,,2,4,5,8,2,3,3,1,2,3,7,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,2,,,,2,,,1,,,,2,,,2,,,2,,,,1,1,3,6,2,3,0,2,,,,1,2,,1,2,,,,2,,,,3,3,1,2
62334,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,007,LAMIN PULUT,1,1,5,4,1,1,1,3,1,3,2,1,1,1,1,1,2,,,,,,,,2,2,2,2,,,2,1,17,1,2,2,,,,0,127,0,3,,2,3,5,8,1,4,2,3,2,3,5,8,2,3,2,1,1,4,7,6,2,,,,,1,2,2,2,1,,,,1,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,2,0,2,,,,2,,,,2,,,,1,2,,1,3,3,2,1
62335,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,008,LAMIN TELIHAN,1,1,7,2,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,2,2,2,2,,,2,1,5,3,2,1,-,"SERAUNG, ANJAT",3,0,563,0,3,,2,3,5,8,1,4,2,2,1,4,5,8,2,3,3,1,2,3,7,6,2,,,,,1,2,1,2,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,2,,2,,2,2,,2,2,,2,,,,1,1,4,6,2,1,0,2,,,,1,2,,1,2,,,,2,,,,2,3,1,1
62336,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,160,KENOHAN,009,KAHALA ILIR,1,1,5,1,1,1,1,8,1,3,2,1,1,2,1,1,2,,,,,,,,3,,,2,,,2,1,1,3,2,1,KAJANG DAN SERAUNG,-,3,327,0,10,1,1,2,3,6,8,1,4,2,2,1,4,5,8,2,1,2,1,2,3,2,1,2,,,,,1,1,1,2,1,2,2,,2,2,2,,1,2,2,,1,1,2,,2,2,2,,1,2,1,,1,2,1,2,2,2,,2,2,,2,2,,1,1,90,95,1,1,4,6,1,3,0,2,,,,1,2,,1,2,,,,2,,,,1,1,1,1
62209,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,001,KOTA BANGUN III,1,1,9,9,1,1,2,21,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,10,2,1,2,,,,982,0,0,2,1,2,3,6,8,2,4,2,,2,3,6,8,2,2,3,1,3,4,5,5,2,,,,,2,1,2,1,,2,,2,,2,,2,,2,,2,,1,,1,,2,,2,,2,,2,,2,,,2,,2,,,2,,,2,,,,,,,,,,1,1,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62210,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,002,KOTA BANGUN II,1,1,7,30,1,1,2,20,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,12,3,1,2,,,,767,0,0,2,1,2,3,6,8,1,4,2,3,2,3,6,8,2,2,3,1,3,4,9,4,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62211,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,003,KOTA BANGUN I,1,1,5,36,1,1,2,12,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,10,2,2,2,,,,351,0,0,1,1,2,3,6,8,2,4,2,,2,3,6,8,2,2,3,1,3,4,2,3,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62212,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,004,WONOSARI,1,1,5,18,1,1,2,6,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,13,3,2,2,,,,111,0,29,3,,2,3,6,8,1,4,2,2,2,3,6,8,2,2,3,1,3,4,8,4,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,1
62213,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,005,KEDANG IPIL,1,1,8,2,1,1,2,12,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,2,2,,,2,1,1,2,2,1,GULA MERAH,-,3,282,120,0,2,2,2,3,5,8,1,4,2,2,2,3,6,8,2,2,3,1,3,4,7,5,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,1,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62214,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,006,BENUA BARU,1,1,6,2,1,1,1,3,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,2,2,1,DURIAN,TIDAK ADA,3,0,94,0,2,3,2,3,5,8,1,4,2,3,2,3,6,8,2,2,3,1,3,2,7,5,2,,,,,1,1,2,2,1,2,,,2,2,,,2,2,,,1,1,,,2,2,,,2,2,,,1,2,,2,2,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,1,2
62215,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,007,SEDULANG,1,1,6,3,1,1,1,2,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,3,2,,,2,1,1,2,2,2,,,,100,2,0,2,2,2,3,5,7,1,4,2,2,2,3,6,8,2,2,3,1,3,1,7,5,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,1,0,2,,,,1,2,,2,2,,,,2,,,,3,3,1,2
62216,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,008,SUKABUMI,1,1,5,6,1,1,1,6,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,3,1,2,,,,408,0,0,3,,2,3,6,8,2,4,2,,2,3,6,8,2,2,3,1,3,4,8,4,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62217,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,009,SARINADI,1,1,5,7,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,10,2,1,2,,,,505,0,0,3,,2,3,6,8,2,4,2,,2,3,5,8,2,2,3,1,3,4,2,4,2,,,,,1,2,2,2,1,,,,2,,,,1,,,,1,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62218,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,010,SUMBER SARI,1,1,5,24,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,10,2,2,2,,,,420,0,0,2,2,2,3,6,8,1,4,2,3,2,3,6,8,2,2,1,3,3,1,9,5,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62219,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,011,KOTA BANGUN ULU,1,1,10,3,1,1,2,21,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,4,,,,1,"KRUPUK IKAN, IKAN SALAI",TIDAK ADA,3,1767,0,0,2,1,2,3,5,7,2,4,2,,1,3,5,8,2,1,1,1,3,3,3,1,2,,,,,1,2,2,2,1,,,,1,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,1,130,130,1,1,3,6,3,3,0,2,,,,1,1,,2,2,,,,2,,,,3,3,2,2
62220,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,012,LOLENG,1,1,5,16,1,1,2,11,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,4,,,,2,,,,703,0,0,2,1,2,3,5,7,1,4,2,3,1,3,6,8,2,2,3,1,1,2,7,5,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,1,2
62221,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,013,LIANG ILIR,1,1,7,15,1,1,2,12,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,1,2,1,IKAN ASIN DAN KERUPUK IKAN,-,3,718,0,0,2,1,2,3,5,8,1,4,2,1,1,4,6,8,2,1,3,1,3,3,3,1,1,2,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
